decision_id,authority,priority,scope,family,decision,supersedes,status,source,implementation_status,future_work_rule
OSD-011,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,QUALITY_FLOOR,"For eligible structured/workbench surfaces, the mature Library interaction/editor/pane/note/customization/accessibility quality is a floor, not a ceiling.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-012,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,W02_LEARN,LEARN,Learn should inherit the eligible Library workspace/editor foundation deeply and build learning-specific progress/journey/practice/assessment/lab tools on top.,Learn consumption-only UI,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-013,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,W02_LEARN,LEARN,Learn lessons/sections/practice/assessment may expose progression/recommendation status but must not be arbitrarily inaccessible solely because an earlier activity is incomplete.,Assessment locked until Practice; sequential lesson locks,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-014,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,W02_LEARN,LEARN,Do not ban authoring chrome from Learn CENTER by category. Reuse the unified editor for editable canonical/user-owned learning content and apply capability profiles for Learn-specific semantics.,Do not put authoring chrome on CENTER,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-015,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,W02_LEARN,LEARN,"Learn should support reading, writing/editing, focus and mixed modes where meaningful, with explicit current mode and reversible switching.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-016,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,W02_LEARN,LEARN,Tracking completion/progress is useful and should remain truthful even though it does not gate access.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-017,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,MULTI_ROUTE,An essential capability must not depend unnecessarily on one input modality or one hidden route.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-018,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,MULTI_ROUTE,"Pointer, keyboard, context menu, command search, inspector and other entry routes for the same intention dispatch one semantic owner and produce equivalent state effects.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-019,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,MULTI_ROUTE,"A control that opens/enables/expands a reversible state normally provides a direct discoverable route to reverse it, including same-control toggle when the widget pattern supports it.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-020,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,DISMISSAL,Do not apply one close rule to every transient. Define dismissal semantics by disclosure/menu/popover/palette/modal/modeless/pinned/persistent class.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-021,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,DISMISSAL,"Command/search palettes must support multiple appropriate dismiss routes such as Esc, visible close where useful, outside pointer dismissal, selection/commit behavior, conflicting-transient replacement and focus-out when truly leaving a non-modal interaction subtree.",Escape-only command palette,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-022,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,DISMISSAL,Modal dialogs keep background inert and focus contained; provide Esc plus visible Close/Cancel and explicit completion routes. Outside click dismissal is optional only when safe.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-023,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,DISMISSAL,"Disclosure/accordion/toggle controls should support activation of the same trigger to open and close, with Enter/Space parity. Auto-close of sibling sections may coexist but is not the only close route.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-024,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P1,PORTFOLIO,DISMISSAL,Pinned/persistent panes require explicit hide/close/customization commands; focus movement alone should not destroy persistent workspace context.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-025,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,CUSTOMIZATION,Extreme customizability must use one coherent PreferenceStore/Settings architecture rather than independent mini-settings engines scattered across panels.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-026,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,CUSTOMIZATION,"Contextual Customize/Settings actions may deep-link or modify the same centralized preference, but must not create duplicate state owners.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-027,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,CUSTOMIZATION,"Settings must be searchable, categorized, compact/comfortable, visually subordinate to work, responsive and appropriately sized rather than an oversized generic sheet.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-028,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,CUSTOMIZATION,"Expose high-frequency local controls near the work and keep advanced/rare controls in centralized grouped Settings, without duplicating semantics.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-029,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,CUSTOMIZATION,Preferences may inherit Global → Workspace → Surface → View → Component override with explicit reset-to-parent/default semantics.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-030,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,CUSTOMIZATION,Provide reset current control/surface/view/workspace/keymap/default visibility and import/export/versioned migration where relevant.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-031,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,CUSTOMIZATION,Hiding/moving chrome preserves alternate access through command search/context/settings/shortcut unless the capability itself is intentionally disabled.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-032,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P1,PORTFOLIO,CUSTOMIZATION,"Because this is a single-owner personal platform, allow aggressive personal layout/density/tool visibility customization while preserving mandatory safety/error/authority disclosures and recovery routes.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-033,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,ACTION_SURFACE,"Every action-bearing container participates in InteractionSurfaceRegistry/ActionSurfaceModel with owner, grouping, lifecycle, responsive, accessibility and customization contracts.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-034,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,ACTION_SURFACE,"Use grouping, progressive disclosure, context sensitivity, favorites/recents, search, split-buttons, menus and responsive overflow so adding capability does not overwhelm the work surface.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-035,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,ACTION_SURFACE,"Destructive/high-impact actions get isolated grouping, impact explanation, undo/recovery truth and appropriate confirmation policy.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-036,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,ACCESSIBILITY,"Accessibility architecture should maximize independent ability to navigate, inspect, edit, configure and recover through multiple input paths, not merely add ARIA attributes.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-037,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,ACCESSIBILITY,"Every transient, modal, pane, context switch and editor action defines initial focus, traversal, containment if applicable, and deterministic return/fallback.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-038,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,ACCESSIBILITY,Hover may enhance discovery but essential commands must be reachable without hover.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-039,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P1,PORTFOLIO,ACCESSIBILITY,Support comfortable UI scaling/density independently from spatial canvas zoom when architecture permits.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-040,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,INPUT,"Keyboard/mouse/trackpad behavior should use versioned profiles with conflict detection, reset and accessibility-safe behavior, rather than hard-coded one-size-fits-all input assumptions.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-041,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,INPUT,"Global shortcuts/gestures must not steal ordinary text input, IME composition, native panel scrolling or assistive-technology interaction without explicit scope.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-042,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,STATE,Responsive collapse/overlay behavior may temporarily override layout but must not silently overwrite the Owner preferred pane/layout state.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-043,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,STATE,Unavailable/error/stale/unobserved/empty/locked-by-platform states must not be conflated with user-hidden/collapsed/filtered/personal preferences.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-044,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,STATE,"Editable representations, projections, spatial copies and contextual views must not silently create or mutate canonical domain truth unless the command explicitly targets the canonical owner.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-045,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,HISTORY,"The Owner should be able to experiment aggressively because reversible actions, history, revision, restore and recovery are first-class where feasible.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-046,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,AUTHORITY,Authority/gating information should explain real commit/integrity boundaries but should not disable safe local/draft/design interactions unnecessarily.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-047,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,AUTHORITY,"Old reviewer findings, old writer packets and old approved interpretations are revalidated; they may be superseded by current Owner intent, newer evidence or better architecture.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-048,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,WRITER,Future Blueprint and Production writers should receive self-contained decision-complete execution capsules that minimize interpretation and do not require reading the entire Big Boss corpus.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-049,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,WRITER,Compile only the exact authority/donor/requirements/state/mapping slices needed for the task; avoid context bloat that can distract or create conflicting interpretations.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-050,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,WRITER,"Product semantics, Owner requirements, state ownership, authority boundaries and acceptance criteria are pre-decided. Executor discretion is limited to implementation details that preserve the contract.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
OSD-051,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,P0,PORTFOLIO,WRITER,"Ban vague executor-facing terms such as professional/best/appropriate/clean/etc. unless accompanied by measurable behaviors, state tables, examples, constraints or acceptance assertions.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,Big Boss v1.2 O01/owner_intent_registry.json,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS
