foundation_id,core_or_engine,big_boss_disposition,evidence_scope,responsibility,hard_boundary,new_foundation_authority,physical_implementation_status,implementation_posture,primary_donor,anti_pattern,W01:Today,W01:Shared Global Shell,W02:Library,W02:Learn,W02:Visualize,W02:Research & Quality,W03:Enterprise,W03:Scenarios,W03:Labs,W03:Runs,W03:Results,W04:Evidence,W04:Reviews,W04:Mastery,W04:Portfolio,W05:Health,W05:Processing,W05:Validation,W05:Audit,W05:AI Bridge / Manual AI Bridge,W05:Backup & Restore,W05:Releases,W05:Configuration
SC-011,PreferenceExportImportResetModel,REQUIRED_SHARED,Owner preference seed,"versioned export/import, reset one/section/scope/global; effective-source preview.",Secrets/domain configuration excluded unless separately governed.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-012,LocaleLanguagePresentationCore,REQUIRED_SHARED,OSD-065..076 + all Workspaces,uiLocale/language pack/number-date-time/search language as distinct preferences.,Does not rewrite canonical content language metadata.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-013,DirectionAlignmentResolutionCore,REQUIRED_SHARED,OSD-067..071 + all Workspaces,"chrome direction, natural text direction and alignment resolved separately.",No single RTL/LTR mega-flag.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-014,TypographyAndScriptProfileCore,REQUIRED_SHARED,OSD-070/075 + mixed-script portfolio,font/script fallback/profile and script-aware defaults.,Must not hard-code Arabic-only typography.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-015,TechnicalTokenBidiIsolationCore,REQUIRED_SHARED,W01–W05 technical tokens,code/commands/paths/IPs/hashes/IDs/logs remain readable independent of chrome direction.,Token isolation policy can vary by tool/content.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-016,SemanticCommandCore,PROVEN_SHARED,22/23 capsules + W02 donor,one behavioral command owner with many invocation routes.,Payloads MUST be typed per command family.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-017,ActionSurfaceCore,PROVEN_SHARED,portfolio action surfaces + prior Big Boss valid machinery,visible/overflow/context/palette/quick/keyboard/pointer routes map to semantic command IDs.,Presentation route != semantic owner.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-018,ActionAvailabilityCore,PROVEN_SHARED,W01–W05 disabled/authority/state rules,"availability, disabled reason, permission/state constraints.","Disabled reason must be truthful, not cosmetic.",ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-019,TransientFocusCore,PROVEN_SHARED,22/23 capsules,"modal/menu/palette/drawer focus containment, dismissal, inertness, focus return.",Persistent panes are not transients.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-020,InputKeymapCore,PROVEN_SHARED,W01–W05 + Library donor,"keyboard/pointer/touch/trackpad mappings, conflicts, remap, text/IME protection.",Single-character shortcuts need guards.,ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
SC-021,AccessibilityInteractionCore,PROVEN_SHARED,W01–W05,"focus visibility, region navigation, announcements, equivalent action routes.","Equivalent agency, not decorative accessibility.",ADMITTED_CONCEPTUAL_MECHANIC_OWNER_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,CONCEPTUAL_OWNER_ADMITTED__PHYSICAL_FILE_SYMBOL_UNRESOLVED_FOR_NEW_FOUNDATION,ONE_REUSABLE_EXECUTABLE_OWNER_PLUS_THIN_DOMAIN_ADAPTERS,Accepted Library v1.2.17 when compatible; Visualize/W03/R&Q/W04/W05 source families where domain/family-specific,NO_SURFACE_LOCAL_DUPLICATE_OWNER; NO_UNIVERSAL_DOMAIN_STORE; NO_STACK_PATH_CARRYOVER_BY_ASSUMPTION,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED,BASELINE_APPLICABLE_OR_EXPLICIT_NA_REQUIRED
