item_path,line,level,title
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,70,2,State rule
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,77,1,02 — Domain Truth Map & Non-Collapse Laws
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,79,2,W01
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,84,2,W02
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,90,2,W03
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,106,2,W04
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,117,2,W05
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,127,2,Universal law
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,133,1,03 — Global Settings / Language / Accessibility / Input
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,135,2,One preference owner
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,141,2,Separate axes
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,154,2,Required resolved preference fields
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,157,2,Global-capable families
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,160,2,Narrower-scoped families
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,163,2,Hard separation
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,168,2,Accessibility
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,174,1,04 — Donor & Adapter Map
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,176,2,Primary donors
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,177,3,Library
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,182,3,Visualize
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,187,3,Research & Quality
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,193,3,Learn
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,197,2,Cross-workspace counterexample donors
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,202,2,W03 target architecture
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,210,1,05 — Successor Execution Contract / Open Gates
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,212,2,Required successor conversion
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,214,3,O02 / source graph
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,218,3,O03 / semantic adjudication
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,222,3,O04 shared protocols
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,229,3,O05 Surface contracts
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,234,3,O07/O08 settings/input
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,239,3,O09 notes/annotations
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,244,3,O10 Writer factory
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,248,3,O11 production anti-loss
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,254,3,O14 Writer capsules
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,258,3,O15
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,267,2,Open gates carried into successor
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,282,2,Raw source rule
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/01_READER_SET/ASTRA_BIG_BOSS_READER_SET_SINGLE.md,286,2,Final successor disposition discipline
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,1,1,Global Settings & Preference Architecture — Phase B Decision
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,6,2,1. Core invariant
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,11,2,2. Resolution chain
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,24,2,3. Required semantic owners
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,37,2,4. Hard separations
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,48,2,5. Language / direction model
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,56,2,6. Settings IA
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,73,2,7. Entry routes
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,85,2,8. Reset / migration
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,103,2,9. Accessibility
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,114,2,10. Authority
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,96,1,1. identify semantic duplicate;
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,97,1,2. map old key → canonical preference ID;
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,98,1,3. preserve the user's value at the narrowest equivalent scope;
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,99,1,4. mark old key read-through temporarily if needed;
CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE.zip::CEP_BIG_BOSS_EXECUTION_SYSTEM_v1.2_OWNER_HARDENED_SUCCESSOR_CANDIDATE/INPUT_EVIDENCE/02_PHASE_B_STRUCTURED_DECISIONS/03_GLOBAL_SETTINGS_AND_PREFERENCE_ARCHITECTURE.md,100,1,5. stop dual writes;
