component_id,semantic_core,implementation,slots,status,duplicate_policy
SettingsCenter,SC-009,dist/foundation/global/settings/center.js + dist/foundation/global/settings/sections.js + dist/foundation/global/settings/search.js,['TRANSIENT'],CONTROLLER_ACCEPTED_EXECUTABLE_GLOBAL_OWNER_M6,SettingsCenterOwner owns presentation/disclosure/search only; ScopedPreferencesOwner owns values/persistence; family applicability must be explicit.
ScopedPreferencesOwner,SC-008,dist/foundation/models.js,['MODEL'],EXECUTABLE_BOUNDED,Consume this owner; no surface-local equivalent
FocusAndDismissal,SC-019,dist/foundation/workspace-host.js + dist/foundation/workspace.js,['TRANSIENT'],EXECUTABLE_TRANSIENT_FOCUS_LIFECYCLE,Consume this owner; no surface-local equivalent
UnifiedEditor,SC-030,dist/foundation/structured.js + dist/foundation/structured/surface-host.js + dist/foundation/structured/block-renderer.js + dist/foundation/structured/presentation-bridge.js + dist/foundation/structured/read-inspection.js + dist/foundation/structured/outline-descriptor.js + dist/foundation/workspace-host.js + dist/foundation/accepted-runtime.js (Library compatibility integration only),"['CENTER', 'NOTES']",CONTROLLER_ACCEPTED_EXECUTABLE_STRUCTURED_FAMILY_BOUNDARY_M6,StructuredSurfaceHost/StructuredNavigationDescriptorOwner orchestrate presentation/descriptors only; StructuredDocumentDomainAdapter and accepted subordinate owners retain canonical truth; Library donor integration remains bounded compatibility glue
StickyNotes,SC-038,dist/foundation/accepted-runtime.js (Library compatibility only),"['TRANSIENT', 'RIGHT']",EXECUTABLE_LIBRARY_COMPATIBILITY_ONLY_NOT_GLOBAL_OWNER,Consume this owner; no surface-local equivalent
SpatialInteraction,SC-031,dist/foundation/spatial/interaction-kernel.js + dist/foundation/spatial.js,['CENTER'],EXECUTABLE_BOUNDED,Consume this owner; no surface-local equivalent
OperationalSurface,SC-036,dist/foundation/operational.js,"['CENTER', 'BOTTOM', 'TRANSIENT']",EXECUTABLE_WITH_RENDERER_AND_RUNTIME_ADAPTER_BOUNDARIES,Consume this owner; no surface-local equivalent
WindowMotion,SC-006,dist/foundation/window-motion.js,['TRANSIENT'],EXECUTABLE_BOUNDED,Consume this owner; no surface-local equivalent
SemanticCommandBus,SC-016,dist/foundation/models.js,['MODEL'],EXECUTABLE_BOUNDED,Consume this owner; no surface-local equivalent
StatusFeedback,SC-022,dist/foundation/global/feedback.js,"['GLOBAL', 'TRANSIENT']",CONTROLLER_ACCEPTED_EXECUTABLE_GLOBAL_OWNER,AccessibilityFeedbackOwner projects source truth only; no domain status invention or duplicate aria-live owner
AnalyticalCompare,SC-032,dist/foundation/analytical/compare.js + dist/foundation/analytical/compare-host.js + dist/foundation/contracts/analysis-provider.js + dist/adapters/analytical/rq-compare-provider.js + dist/adapters/analytical/results-compare-provider.js,"['CENTER', 'BOTTOM']",CONTROLLER_ACCEPTED_EXECUTABLE_ANALYTICAL_COMPARE_E18,ONE_ANALYTICAL_COMPARE_OWNER; exact pinned identity only; domain meaning stays in typed AnalysisProvider adapters; no Review/Mastery/Audit authority transfer
GlobalInputKeymap,SC-020,dist/foundation/global/input-keymap.js + dist/foundation/global/region-cycle.js + dist/foundation/global/input-ownership-contract.js,"['TOP', 'TOOLBAR', 'LEFT', 'CENTER', 'RIGHT', 'BOTTOM', 'TRANSIENT']",CONTROLLER_ACCEPTED_EXECUTABLE_GLOBAL_OWNER,GlobalInputKeymapOwner alone owns global shortcuts/F6/Escape routing; family keymaps keep family semantics
UIScalePolicy,SC-007,dist/foundation/global/preferences/ui-scale.js + dist/foundation/global/tokens/scale.css,['GLOBAL'],CONTROLLER_ACCEPTED_EXECUTABLE_GLOBAL_POLICY,"UIScalePolicyOwner projects application-chrome scale only; no document/canvas zoom, density or responsive ownership"
InputDirectionResolver,SC-013,dist/foundation/global/input-direction.js + dist/foundation/contracts/platform-input-direction-bridge.js,"['CENTER', 'TRANSIENT']",CONTROLLER_ACCEPTED_EXECUTABLE_GLOBAL_OWNER_M6,One transient direction resolver; explicit content direction wins; no semantic-language inference or surface-local heuristic owner.
StructuredInputKeymap,SC-020,dist/foundation/structured/input-keymap.js + dist/foundation/structured/caret-bridge.js + dist/foundation/structured/shorthand.js,['CENTER'],CONTROLLER_ACCEPTED_EXECUTABLE_FAMILY_OWNER_M6,StructuredInputKeymapOwner alone owns Structured editor key/caret/composition/shorthand semantics; global shortcuts remain GlobalInputKeymapOwner.
StructuredActionDescriptors,SC-017,dist/foundation/structured/action-descriptors.js + dist/foundation/structured/insertion-targets.js,"['CENTER', 'TRANSIENT']",CONTROLLER_ACCEPTED_EXECUTABLE_FAMILY_OWNER_M6,One Structured action descriptor truth for palette/menu/keyboard/Shift+F10; mutation and confirmation presentation remain delegated.
StructuredRichContent,SC-030,dist/foundation/structured/rich-content.js + dist/foundation/structured/code-block.js + dist/foundation/structured/sanitization-policy.js + dist/foundation/structured/direction-adapter.js,['CENTER'],CONTROLLER_ACCEPTED_EXECUTABLE_FAMILY_OWNER_M6,StructuredRichContentOwner owns safe rich/code/bidi presentation policy; ClipboardTrust owns clipboard trust and document mutation stays outside renderer.
StructuredDragDrop,SC-030,dist/foundation/structured/drag-drop.js + dist/foundation/structured/drop-target.js,['CENTER'],CONTROLLER_ACCEPTED_EXECUTABLE_FAMILY_OWNER_M6,StructuredDragDropOwner owns drag intent/target/autoscroll projection; StructuredMutationKernel owns actual document mutation.
OperationalSessionBoundary,SC-006,dist/foundation/operational/session-owner.js + dist/foundation/operational/terminal-host.js + dist/foundation/contracts/runtime-adapter.js,"['CENTER', 'BOTTOM', 'TRANSIENT']",CONTROLLER_ACCEPTED_BOUNDED_BELOW_M6_SECOND_REAL_PROVIDER_NOT_PROVEN,OperationalSessionOwner owns provider-neutral session presentation/attachment identity only; RuntimeAdapter owns causal runtime truth; no fake second provider.
EpistemicStateContract,SC-023,dist/foundation/contracts/epistemic-state.js,['GLOBAL'],CONTROLLER_ACCEPTED_CONTRACT_M4_IMPLEMENT_ON_DEMAND,Shared epistemic vocabulary/refusal contract only; domain supplies cause/status/copy; no generic async/status engine.
ConfirmationSafetyHost,SC-026,dist/foundation/global/confirmation-host.js,['TRANSIENT'],CONTROLLER_ACCEPTED_EXECUTABLE_GLOBAL_PRESENTATION_HOST,Consumes explicit destructive-risk descriptors only; never guesses risk and never becomes mutation/action semantic owner.
Wave4FamilyInteractionAssembly,SC-017,dist/foundation/wave4-assembly.js + dist/main.js,['GLOBAL'],CONTROLLER_ACCEPTED_COMPOSITION_ONLY,Controller composition only; semanticOwner=false; never a substitute for Global/Family/Domain owners.
StructuredSurfaceHost,SC-030,dist/foundation/structured/surface-host.js + dist/foundation/structured/block-renderer.js + dist/foundation/structured/presentation-bridge.js,['CENTER'],CONTROLLER_ACCEPTED_EXECUTABLE_FAMILY_HOST_M6,ONE_STRUCTURED_SURFACE_HOST; presentation/orchestration only; document/mutation/selection/history/domain truth remain accepted Structured owners
StructuredNavigationDescriptorOwner,SC-030,dist/foundation/structured/read-inspection.js + dist/foundation/structured/outline-descriptor.js,"['CENTER', 'RIGHT', 'TRANSIENT']",CONTROLLER_ACCEPTED_EXECUTABLE_FAMILY_DESCRIPTOR_OWNER_M6,ONE_STRUCTURED_NAVIGATION_DESCRIPTOR_TRUTH; descriptor/read/outline/quick-jump only; no DOM scroll/focus/document/domain-reference/transaction mutation
StickyNoteWindowOwner,SC-006,dist/foundation/notes/sticky-note-window.js + dist/foundation/window-motion.js,"['NOTES', 'TRANSIENT']",CONTROLLER_ACCEPTED_EXECUTABLE_NOTES_WINDOW_OWNER_M6,ONE_STICKY_NOTE_WINDOW_OWNER_PER_CANONICAL_HOST_GRAPH; WindowMotion remains the one generic geometry owner; CEP pin is not OS always-on-top; close/hide is presentation-only
NoteBindingAdapter,SC-038,dist/foundation/notes/note-binding.js + dist/adapters/note-binding-domains.js,['NOTES'],CONTROLLER_ACCEPTED_EXECUTABLE_NOTE_BINDING_OWNER_M6,ONE_CANONICAL_NOTE_BINDING_TRUTH_PER_NOTE; presentation/window IDs never become source identity; available bindings require validated source identity where applicable
StructuredNoteContentAdapter,SC-038,dist/adapters/structured-note-content.js + dist/foundation/structured.js + dist/foundation/structured/surface-host.js,['NOTES'],CONTROLLER_ACCEPTED_EXECUTABLE_STRUCTURED_NOTE_CONTENT_ADAPTER_M6,ONE_FINAL_NOTE_CONTENT_ADAPTER_PER_CANONICAL_BINDING+WINDOW+NOTE GRAPH; no second Structured editor/document engine; document identity collision is rejected fail-atomically
NotesFamilyComposition,SC-038,dist/adapters/library-note-runtime-composition.js + dist/foundation/accepted-runtime.js + dist/main.js,"['NOTES', 'TRANSIENT']",CONTROLLER_ACCEPTED_INTEGRATION_COMPOSITION_M6,COMPOSITION_GLUE_ONLY_NOT_A_SEMANTIC_OWNER; note content/binding/window truth remains in accepted Wave6 owners
