test_id,surface,mechanic,precondition,action,expected_transition,negative_assertion,required_evidence,status,writer_evidence_status,actual_evidence,command_or_state_owner,independent_acceptance
IM-LAB-CTX,Labs,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-LAB-CTX,SharedContextLensCore→LabsDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-LAB-NOTE,Labs,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-LAB-NOTE,Shared owner proven in browser receipt,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RUN-THEME,Runs,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RUN-THEME,GlobalPreferenceCore.ThemeProfile,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RUN-GUIDE,Runs,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RUN-GUIDE,SharedGuidanceOwner,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RUN-CTX,Runs,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RUN-CTX,SharedContextLensCore→RunsDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RUN-NOTE,Runs,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RUN-NOTE,Shared owner proven in browser receipt,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RES-THEME,Results,Deep Neutral theme,Reference/Dark Blue active,Select Deep Neutral,Whole application chrome/panes/context/transients/notes use donor-derived deep-neutral palette,No major shell region remains on dark-blue palette due to parallel owner,computed-style + screenshot + reload,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RES-THEME,GlobalPreferenceCore.ThemeProfile,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RES-GUIDE,Results,Guidance/Legend lifecycle,Optional guide/legend available,Close/hide then reopen; move/dock where applicable,"State changes visibly, reopen route remains, preference survives appropriate reload",No mandatory disclosure is hidden; no guide silently reappears,browser state + screenshot + focus,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RES-GUIDE,SharedGuidanceOwner,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RES-CTX,Results,Context lifecycle,Selectable object/context target exists,RMB / Shift+F10; pin; close/unpin; reopen,"Same Context owner, correct target, deterministic close/reopen/focus",No stale previous target and no duplicate context engine,browser + focus assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RES-CTX,SharedContextLensCore→ResultsDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RES-NOTE,Results,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RES-NOTE,Shared owner proven in browser receipt,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RUN-STRUCT,Runs,Structure navigation,Operations center visible,Select each structure item/lens,Correct region (CENTER or RIGHT Context) changes according to classification,No selected navigation item leaves intended target region stale,before/after DOM signatures + screenshots,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RUN-STRUCT,SharedViewInteractionCore→RunsDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RUN-MODES,Runs,Run modes,One run mode active,Switch Preflight/Operations/Timeline/Topology,CENTER visibly changes with stable run identity,No aria-selected-only transition,browser + screenshots,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RUN-MODES,SharedViewInteractionCore→RunsDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-ENT-MODES,Enterprise,Enterprise modes,Topology/model workspace loaded,Switch Model/Topology/State/Behavior/Validation,Each control uses adjudicated CENTER or Context semantics,No workspace-looking tab opens only ambiguous small transient,browser + screenshots,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-ENT-MODES,SharedViewInteractionCore→EnterpriseDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-LAB-STRUCT,Labs,Labs modes/structure,Lab selected,Switch all modes/structure entries,"Correct target region changes, state sync preserved",No stale center/context,browser + screenshots,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-LAB-STRUCT,SharedViewInteractionCore→LabsDomainAdapter,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-SCN-REL,Scenarios,Relation authoring,2+ eligible objects selected,Connect → relation composer → apply/cancel,Composer has source/target/type/direction/version pins as applicable,No visual edge silently mutates canonical relation without semantic command,browser + command payload,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-SCN-REL,W03ScenarioDomain,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-ENT-REL,Enterprise,Relation authoring,2+ devices/entities selected,Connect → relation composer,Same shared interaction grammar + Enterprise domain adapter,No generic hardcoded relation; no duplicate owner,browser + command payload,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-ENT-REL,W03EnterpriseDomain,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-LAB-REL,Labs,Relation/branch authoring,Eligible objects selected,Connect/Edit Relationship/Add Branch,Domain-valid composer and view sync,No unsupported branch shown without N/A reason,browser + command payload,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-LAB-REL,W03LabDomain,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-ENT-SHELL,Enterprise,OPEN_TERMINAL entry parity,Eligible device/session/run object,Use all admitted routes: dblclick/context/palette/inspector/list/multiselect,Routes converge to same command and session identity,Non-capable object does not open terminal; no fake provider I/O,browser + session-id assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-ENT-SHELL,OPEN_TERMINAL,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-SCE-SHELL,Scenarios,OPEN_TERMINAL entry parity,Eligible device/session/run object,Use all admitted routes: dblclick/context/palette/inspector/list/multiselect,Routes converge to same command and session identity,Non-capable object does not open terminal; no fake provider I/O,browser + session-id assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-SCE-SHELL,OPEN_TERMINAL,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-LAB-SHELL,Labs,OPEN_TERMINAL entry parity,Eligible device/session/run object,Use all admitted routes: dblclick/context/palette/inspector/list/multiselect,Routes converge to same command and session identity,Non-capable object does not open terminal; no fake provider I/O,browser + session-id assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-LAB-SHELL,OPEN_TERMINAL,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RUN-SHELL,Runs,OPEN_TERMINAL entry parity,Eligible device/session/run object,Use all admitted routes: dblclick/context/palette/inspector/list/multiselect,Routes converge to same command and session identity,Non-capable object does not open terminal; no fake provider I/O,browser + session-id assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RUN-SHELL,OPEN_TERMINAL,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RES-HIST,Results,Historical terminal,Recorded terminal output available,Open terminal/session evidence,RECORDED_READ_ONLY viewer opens,No live shell execution route,browser + disabled/action truth,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RES-HIST,OPEN_RECORDED_TERMINAL,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-OPS-TABS,Shared Operational,Real session tabs,Open 3 sessions/tools,Switch/reorder/close tabs,Visible tab strip and stable active session identity,Tab presentation mode is not mistaken for session switching,browser + screenshot + ID assertions,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-OPS-TABS,OperationalSurfaceManager,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-OPS-WINDOW,Shared Operational,Window move/resize,Floating session open,Pointer move + edge/corner resize + pin/dock,Predictable resize/move/clamp; state retained,No accidental content drag; no invisible-only native corner reliance,browser pointer geometry + screenshot,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-OPS-WINDOW,OperationalSurfaceManager,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-ENT-PAN,Enterprise,Spatial pan routes,Eligible spatial viewport,"Test MMB drag, Space+LMB drag, Ctrl+RMB drag, RMB click",Three pan routes pan; plain RMB opens Context,Ctrl+RMB drag does not open Context; RMB click does not pan; marquee/object move unchanged,pointer delta + viewport transform + context state,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-ENT-PAN,SpatialInteractionCore,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-SCE-PAN,Scenarios,Spatial pan routes,Eligible spatial viewport,"Test MMB drag, Space+LMB drag, Ctrl+RMB drag, RMB click",Three pan routes pan; plain RMB opens Context,Ctrl+RMB drag does not open Context; RMB click does not pan; marquee/object move unchanged,pointer delta + viewport transform + context state,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-SCE-PAN,SpatialInteractionCore,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-LAB-PAN,Labs,Spatial pan routes,Eligible spatial viewport,"Test MMB drag, Space+LMB drag, Ctrl+RMB drag, RMB click",Three pan routes pan; plain RMB opens Context,Ctrl+RMB drag does not open Context; RMB click does not pan; marquee/object move unchanged,pointer delta + viewport transform + context state,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-LAB-PAN,SpatialInteractionCore,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
IM-RUN-PAN,Runs,Spatial pan routes,Eligible spatial viewport,"Test MMB drag, Space+LMB drag, Ctrl+RMB drag, RMB click",Three pan routes pan; plain RMB opens Context,Ctrl+RMB drag does not open Context; RMB click does not pan; marquee/object move unchanged,pointer delta + viewport transform + context state,PASS,PASS,27_OWNER_DIRECT_REVIEW_EVIDENCE_V3_4/27A_INTERACTION_FIRST_BROWSER_ASSURANCE_v3.4.json#IM-RUN-PAN,SpatialInteractionCore,NOT_PERFORMED__WRITER_EVIDENCE_ONLY
