SECTION_ID,SECTION_NUMBER,SECTION_TITLE,SOURCE_ATOM_ID,REQUIREMENT_ID,ATOMIC_REQUIREMENT,A_CLASSIFICATIONS,A_EXPECTED_OWNER,CONTROLLER_OWNERSHIP_LAYER,REUSABLE_MECHANIC_OR_DOMAIN_OWNER,W03_DISPOSITION,WORK_ADMISSION,ADMITTED_TASK_ID,RATIONALE
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A011,CEP-REQ-W03-01-011,When the Run ends: selecting an historical event may highlight the exact device/link/service,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,REVIEW_AUDIT_FAMILY,ReplayContextManager contract + Spatial/domain historical projection,EXTRACT_REUSABLE_MECHANIC,DEFER_TO_SURFACE_BUILD,,Historical event selection/replay context belongs to review/replay semantics with spatial/domain projection.
W03-PROP-01,1,THE MOST IMPORTANT PRODUCT PRINCIPLE,W03-PROP-01-A012,CEP-REQ-W03-01-012,When the Run ends: historical tools become read-only historical views where appropriate.,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_ANALYTICAL;STATE_OWNERSHIP,OperationalSurfaceManager,REVIEW_AUDIT_FAMILY,ReplayContextManager contract + recorded RuntimeAdapter projection,EXTRACT_DOMAIN_VALUE,DEFER_TO_W03_SURFACE_BUILD,,Historical tools becoming read-only is a replay/review truth-boundary requirement. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-02,2,"BUILD MODE != RUN MODE, BUT THEY SHOULD FEEL CONTINUOUS",W03-PROP-02-A000,CEP-REQ-W03-02-000,Authored definitions and runtime truth must be separate; Runs operate frozen projections and must not silently mutate source definitions.,STATE_OWNERSHIP;DOMAIN_ADAPTER;FAMILY_ENGINE_OPERATIONAL,RuntimeAdapter,GLOBAL_FOUNDATION,StateOwnershipRegistry + RunModeController/RuntimeAdapter frozen-projection boundary,EXTRACT_REUSABLE_MECHANIC,DEFER_HIGH_VALUE,,"Authored-definition versus frozen runtime truth is a cross-family state-ownership boundary, specialized by RuntimeAdapter."
W03-PROP-02,2,"BUILD MODE != RUN MODE, BUT THEY SHOULD FEEL CONTINUOUS",W03-PROP-02-A001,CEP-REQ-W03-02-001,BUILD MODE must support the following set where semantically applicable: edit definitions;; add/remove devices;; connect interfaces;; configure intended properties;; design Digital Twin;; define Scenario;; define Lab;; configure initial state..,STATE_OWNERSHIP;DOMAIN_ADAPTER;FAMILY_ENGINE_OPERATIONAL,RuntimeAdapter,DOMAIN_ADAPTER,W03 authoring domain adapters + SemanticCommand boundary,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-004,"Build-mode authoring spans Enterprise, Twin, Scenario and Lab semantics; it is not primarily Spatial selection ownership. Work admission and atom identity preserved; no implementation expansion."
W03-PROP-02,2,"BUILD MODE != RUN MODE, BUT THEY SHOULD FEEL CONTINUOUS",W03-PROP-02-A002,CEP-REQ-W03-02-002,RUN MODE must support the following set where semantically applicable: operate a frozen runtime projection;; interact with devices;; issue simulated commands;; observe runtime state;; generate events;; inspect telemetry;; execute tasks;; pause/resume/stop;; troubleshoot..,STATE_OWNERSHIP;DOMAIN_ADAPTER;FAMILY_ENGINE_OPERATIONAL;SEMANTIC_COMMAND,RuntimeAdapter,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DEFER_HIGH_VALUE,,Operational mechanic is reusable; only provider-neutral/runtime-causal subset is current bounded work.
W03-PROP-02,2,"BUILD MODE != RUN MODE, BUT THEY SHOULD FEEL CONTINUOUS",W03-PROP-02-A003,CEP-REQ-W03-02-003,Provide an explicit future-only PROMOTE_RUNTIME_CHANGE_TO_NEW_DRAFT path if runtime state is ever promoted; never make promotion implicit.,STATE_OWNERSHIP;DOMAIN_ADAPTER;FAMILY_ENGINE_OPERATIONAL,RuntimeAdapter,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DEFER_HIGH_VALUE,,Operational mechanic is reusable; only provider-neutral/runtime-causal subset is current bounded work.
W03-PROP-03,3,W03 IS NOT THE VISUALIZE ENGINE,W03-PROP-03-A000,CEP-REQ-W03-03-000,Reuse generic spatial mechanics through the shared spatial engine while W03 retains device/network/scenario/lab/run/result semantics and canonical relationship authority.,FAMILY_ENGINE_SPATIAL;DOMAIN_ADAPTER;STATE_OWNERSHIP,SpatialInteractionCore,SPATIAL_FAMILY,RelationInteraction + RelationDomainAdapter + RelationComposer,EXTRACT_REUSABLE_MECHANIC,PRESENT_NEEDS_BETTER_TEST,FND-RSM-P1-004;FND-RSM-P1-009,Canonical relation mutation already exists; reuse/tighten rather than reimplement.
W03-PROP-03,3,W03 IS NOT THE VISUALIZE ENGINE,W03-PROP-03-A001,CEP-REQ-W03-03-001,VISUALIZE / SPATIAL ENGINE can provide generic mechanics must support the following set where semantically applicable: viewport;; pan;; zoom;; fit;; minimap;; node representation;; generic edges;; drag;; multi-select;; marquee;; keyboard spatial navigation;; group movement;; snapping;; grid;; alignment;; distribution;; layering;; canvas object placement;; representation positioning;; viewport persistence..,FAMILY_ENGINE_SPATIAL;DOMAIN_ADAPTER;STATE_OWNERSHIP;ACCESSIBILITY;RESPONSIVE,SpatialInteractionCore,SPATIAL_FAMILY,SemanticSpatialNavigator + PointerContextLifecycle,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-007,Current bounded Spatial hardening.
W03-PROP-03,3,W03 IS NOT THE VISUALIZE ENGINE,W03-PROP-03-A002,CEP-REQ-W03-03-002,W03 owns meaning must support the following set where semantically applicable: Device identity;; Device type;; Device behavior;; interfaces/ports;; network semantics;; Enterprise relationships;; Digital Twin semantics;; Scenario semantics;; Lab semantics;; runtime state;; Run identity;; simulated command semantics;; causal effects;; events;; telemetry;; validation;; tasks;; Results truth..,FAMILY_ENGINE_SPATIAL;DOMAIN_ADAPTER;STATE_OWNERSHIP;SEMANTIC_COMMAND,SpatialInteractionCore,DOMAIN_ADAPTER,W03 domain adapters / canonical semantic owners,EXTRACT_REUSABLE_MECHANIC,PRESENT_NEEDS_BETTER_TEST,FND-RSM-P1-004;FND-RSM-P1-009,"The atom explicitly assigns W03 semantic meaning and canonical domain truth, while Spatial remains representation. Work admission and atom identity preserved; no implementation expansion."
W03-PROP-03,3,W03 IS NOT THE VISUALIZE ENGINE,W03-PROP-03-A003,CEP-REQ-W03-03-003,Visual/spatial representation state and W03 canonical domain meaning must remain separate state/semantic owners.,FAMILY_ENGINE_SPATIAL;DOMAIN_ADAPTER;STATE_OWNERSHIP,SpatialInteractionCore,SPATIAL_FAMILY,SpatialModel representation state + W03 domain-adapter canonical truth boundary,EXTRACT_REUSABLE_MECHANIC,DEFER_TO_W03_SURFACE_BUILD,,Spatial representation state must remain separate from W03 canonical domain truth through an adapter boundary.
W03-PROP-04,4,GLOBAL W03 WORKBENCH STRUCTURE,W03-PROP-04-A000,CEP-REQ-W03-04-000,"Compose W03 inside a configurable professional workspace shell with CENTER as primary work and progressive disclosure for panes, shelves, floating tools, palettes and status layers.",GLOBAL_FOUNDATION;LAYOUT_PRIMITIVE;PREFERENCE,WorkspaceFoundation,GLOBAL_FOUNDATION,WorkspaceFoundation + PaneLayoutController + ContextInspector,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-005,Global host/presentation only; domain context comes through descriptors.
W03-PROP-04,4,GLOBAL W03 WORKBENCH STRUCTURE,W03-PROP-04-A001,CEP-REQ-W03-04-001,Support must support the following set where semantically applicable: dock;; undock;; resize;; collapse;; hide;; overlay;; move;; tab;; split;; restore;; save layout..,GLOBAL_FOUNDATION;LAYOUT_PRIMITIVE;PREFERENCE,WorkspaceFoundation,GLOBAL_FOUNDATION,PaneLayoutController + WorkspaceFoundation + future LayoutProfileManager,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P0,FND-RSM-P0-003,"Dock/undock/resize/collapse/tab/split/restore layout are workspace layout mechanics, not Structured document ownership. Work admission and atom identity preserved; no implementation expansion."
W03-PROP-04,4,GLOBAL W03 WORKBENCH STRUCTURE,W03-PROP-04-A002,CEP-REQ-W03-04-002,CENTER remains the current primary work region; panels/tools use progressive disclosure instead of permanent competition.,GLOBAL_FOUNDATION;LAYOUT_PRIMITIVE;PREFERENCE,WorkspaceFoundation,GLOBAL_FOUNDATION,WorkspaceFoundation + PaneLayoutController + ContextInspector,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-005,Global host/presentation only; domain context comes through descriptors.
W03-PROP-05,5,OPERATIONAL SURFACE MANAGER — CRITICAL,W03-PROP-05-A000,CEP-REQ-W03-05-000,Operational device/service tools require a professional Operational Surface Manager supporting movable/resizable/dockable/tabbed/split/pinned/minimized/maximized presentation without becoming ordinary modal dialogs.,FAMILY_ENGINE_OPERATIONAL;LAYOUT_PRIMITIVE;INTERACTION_GRAMMAR;ACCESSIBILITY,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DEFER_TO_FAMILY_BUILD,,Operational mechanic is reusable; only provider-neutral/runtime-causal subset is current bounded work.
W03-PROP-05,5,OPERATIONAL SURFACE MANAGER — CRITICAL,W03-PROP-05-A001,CEP-REQ-W03-05-001,"Each Operational Surface should support, when applicable must support the following set where semantically applicable: drag;; resize;; snap;; dock;; undock;; pin;; unpin;; minimize;; maximize;; restore;; close;; reopen;; focus;; move-to-pane;; move-to-tab-group;; split;; merge;; reorder;; keyboard move;; keyboard resize;; session status;; device identity;; Run identity;; tool identity..",FAMILY_ENGINE_OPERATIONAL;LAYOUT_PRIMITIVE;INTERACTION_GRAMMAR;ACCESSIBILITY;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceAttachmentController interface / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P0,FND-RSM-P0-003,Operational window attachment/presentation lifecycle belongs to Operational family; future attachment controller remains deferred. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-05,5,OPERATIONAL SURFACE MANAGER — CRITICAL,W03-PROP-05-A002,CEP-REQ-W03-05-002,"Operational presentation-state changes must preserve device identity, Run identity, tool identity and session identity.",FAMILY_ENGINE_OPERATIONAL;LAYOUT_PRIMITIVE;INTERACTION_GRAMMAR;ACCESSIBILITY;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DEFER_HIGH_VALUE,,Operational mechanic is reusable; only provider-neutral/runtime-causal subset is current bounded work.
W03-PROP-06,6,TWO DIFFERENT KINDS OF PINNING,W03-PROP-06-A000,CEP-REQ-W03-06-000,Operational surfaces must distinguish viewport pinning from device anchoring and permit presentation-mode conversion without destroying session identity.,FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_SPATIAL;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceAttachmentController interface / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,PRESENT_NEEDS_BETTER_TEST,,Device anchoring vs viewport pinning is an Operational surface attachment state over stable session identity. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-06,6,TWO DIFFERENT KINDS OF PINNING,W03-PROP-06-A001,CEP-REQ-W03-06-001,"ANCHOR_TO_DEVICE, PIN_TO_VIEWPORT, DOCKED and CENTER_TAB are presentation states, not session recreation commands.",FAMILY_ENGINE_OPERATIONAL;FAMILY_ENGINE_SPATIAL;STATE_OWNERSHIP;RESPONSIVE;SEMANTIC_COMMAND,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceAttachmentController interface / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,PRESENT_NEEDS_BETTER_TEST,,Attachment/presentation modes must not recreate operational sessions. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-07,7,"STICKY-NOTE FREEDOM, BUT PROFESSIONAL SESSION SEMANTICS",W03-PROP-07-A000,CEP-REQ-W03-07-000,"Operational surfaces may borrow free-movement affordances from sticky notes but must preserve session lifecycle, I/O, device/run association, reconnect, focus, accessibility, history and status semantics.",FAMILY_ENGINE_OPERATIONAL;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P0,FND-RSM-P0-003,"Operational lifecycle, I/O, reconnect and status semantics dominate borrowed visual affordances. Work admission and atom identity preserved; no implementation expansion."
W03-PROP-07,7,"STICKY-NOTE FREEDOM, BUT PROFESSIONAL SESSION SEMANTICS",W03-PROP-07-A001,CEP-REQ-W03-07-001,Floating shells may borrow UX qualities from Sticky Notes must support the following set where semantically applicable: free movement;; pinning;; resizable frame;; always-visible option;; spatial memory..,FAMILY_ENGINE_OPERATIONAL;STATE_OWNERSHIP,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceAttachmentController interface + SessionPresentation,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P0,FND-RSM-P0-003,Sticky-note-like floating affordances are presentation mechanics of Operational surfaces and must preserve session identity. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-07,7,"STICKY-NOTE FREEDOM, BUT PROFESSIONAL SESSION SEMANTICS",W03-PROP-07-A002,CEP-REQ-W03-07-002,An Operational Surface has must support the following set where semantically applicable: session lifecycle;; active I/O;; device association;; runtime association;; reconnect behavior;; accessibility semantics;; focus semantics;; command history;; status;; possibly authentication/context identity..,FAMILY_ENGINE_OPERATIONAL;STATE_OWNERSHIP;SEMANTIC_COMMAND,OperationalSurfaceManager,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-007,Explicit operational session/I-O/runtime/reconnect semantics are not Spatial-navigation ownership. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-08,8,DEVICE INTERACTION GRAMMAR,W03-PROP-08-A000,CEP-REQ-W03-08-000,Multiple pointer/keyboard/context/palette/inspector routes for device operations must converge on one semantic command owner.,SEMANTIC_COMMAND;ACTION_AVAILABILITY;INTERACTION_GRAMMAR,SemanticCommandCore,GLOBAL_FOUNDATION,SemanticCommandRegistry + ActionSurfaceRegistry + domain capability adapters,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-005,"Multiple routes must converge on one semantic command/action-surface owner; panes/context presentation are consumers, not command ownership."
W03-PROP-08,8,DEVICE INTERACTION GRAMMAR,W03-PROP-08-A001,CEP-REQ-W03-08-001,Possible interaction routes must support the following set where semantically applicable: double click;; context menu;; keyboard shortcut;; command palette;; quick-action button;; device inspector;; device list;; action ring;; multi-select actions..,SEMANTIC_COMMAND;ACTION_AVAILABILITY;INTERACTION_GRAMMAR;ACCESSIBILITY,SemanticCommandCore,GLOBAL_FOUNDATION,ActionSurfaceRegistry + SemanticCommandRegistry + domain capability adapters,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-005,Device interaction routes are shared action/command grammar with domain capability filtering.
W03-PROP-08,8,DEVICE INTERACTION GRAMMAR,W03-PROP-08-A002,CEP-REQ-W03-08-002,Availability of OPEN_TERMINAL/OPEN_BROWSER/START/STOP/etc. is capability- and mode-dependent even when multiple routes expose the same semantic command.,SEMANTIC_COMMAND;ACTION_AVAILABILITY;INTERACTION_GRAMMAR,SemanticCommandCore,GLOBAL_FOUNDATION,ActionAvailabilityCore + RuntimeAdapter capability predicate,EXTRACT_REUSABLE_MECHANIC,DEFER_HIGH_VALUE,,Multi-route command availability should use the shared generic availability seam with Operational capability input. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-09,9,DOUBLE-CLICK BEHAVIOR,W03-PROP-09-A000,CEP-REQ-W03-09-000,Double-click behavior must be capability- and mode-aware and configurable rather than hard-coded globally to Terminal.,SEMANTIC_COMMAND;PREFERENCE;ACTION_AVAILABILITY,ActionAvailabilityCore,GLOBAL_FOUNDATION,ActionSurfaceRegistry + ActionAvailabilityCore + domain capability predicate,EXTRACT_REUSABLE_MECHANIC,DEFER_HIGH_VALUE,,Double-click dispatch is a shared interaction-route policy whose semantic target depends on domain capability/mode. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-09,9,DOUBLE-CLICK BEHAVIOR,W03-PROP-09-A001,CEP-REQ-W03-09-001,Double-click policy must resolve per mode/entity capability and be stored as a preference when configurable.,SEMANTIC_COMMAND;PREFERENCE;ACTION_AVAILABILITY,ActionAvailabilityCore,GLOBAL_FOUNDATION,ActionSurfaceRegistry + ScopedPreferences + domain capability predicate,EXTRACT_DOMAIN_VALUE,DEFER_TO_W03_SURFACE_BUILD,,"Configurable double-click policy combines shared interaction routing, preferences and domain capabilities. Work admission and atom identity preserved; no implementation expansion."
W03-PROP-10,10,TERMINAL / SHELL EXPERIENCE,W03-PROP-10-A000,CEP-REQ-W03-10-000,"Terminal/Shell must provide professional stable-session behavior, editing/navigation/scrollback, multi-session tabs/splits, reconnect/state truth and configurable presentation without session recreation.",FAMILY_ENGINE_OPERATIONAL;PREFERENCE;ACCESSIBILITY;STATE_OWNERSHIP,TerminalSessionManager,OPERATIONAL_FAMILY,TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-004,Terminal stable-session behavior and multi-session lifecycle are Operational/Terminal semantics. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-10,10,TERMINAL / SHELL EXPERIENCE,W03-PROP-10-A001,CEP-REQ-W03-10-001,Design for must support the following set where semantically applicable: true session identity;; device hostname;; prompt;; command history;; autocomplete if device behavior supports it;; scrollback;; selection;; copy;; paste;; find;; clear;; command navigation;; resize;; persistent scroll;; terminal tabs;; split terminal;; multiple sessions per device where supported;; reconnect;; connection state;; pause state;; stale state;; ended-run state;; historical replay/read-only mode..,FAMILY_ENGINE_OPERATIONAL;PREFERENCE;ACCESSIBILITY;STATE_OWNERSHIP;SEMANTIC_COMMAND,TerminalSessionManager,OPERATIONAL_FAMILY,TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-004,Terminal history/scrollback/copy/paste/find/session/reconnect semantics belong to Terminal/Operational family. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-10,10,TERMINAL / SHELL EXPERIENCE,W03-PROP-10-A002,CEP-REQ-W03-10-002,Provide customization must support the following set where semantically applicable: font family;; font size;; line height;; cursor style;; cursor blink;; scrollback size;; contrast;; terminal theme;; padding;; opacity/transparency where appropriate;; audible/visual bell;; shell profile;; keyboard mapping..,FAMILY_ENGINE_OPERATIONAL;PREFERENCE;ACCESSIBILITY;STATE_OWNERSHIP,TerminalSessionManager,OPERATIONAL_FAMILY,TerminalSurface accessibility/preferences seam,EXTRACT_REUSABLE_MECHANIC,DO_NOW_P1,FND-RSM-P1-007,Terminal-specific presentation preferences belong to Terminal/Operational family with shared preference binding. Work admission and atom identity preserved; no implementation expansion.
W03-PROP-10,10,TERMINAL / SHELL EXPERIENCE,W03-PROP-10-A003,CEP-REQ-W03-10-003,Changing terminal presentation among FLOATING/DOCKED/TABBED/SPLIT/MAXIMIZED/ZEN/POPOUT must not start a new runtime session.,FAMILY_ENGINE_OPERATIONAL;PREFERENCE;ACCESSIBILITY;STATE_OWNERSHIP;SEMANTIC_COMMAND,TerminalSessionManager,OPERATIONAL_FAMILY,OperationalSurfaceManager / TerminalSurface / RuntimeAdapter / OperationalSessionModel,EXTRACT_REUSABLE_MECHANIC,DEFER_TO_FAMILY_BUILD,,Operational mechanic is reusable; only provider-neutral/runtime-causal subset is current bounded work.
