donor_component,target_foundation_module_candidate,foundation_family,reuse_posture,authority,boundary_or_required_improvement
StructureTree,navigation/StructureTree,TREE_NAVIGATION,ADAPT_DOMAIN_TREE,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Preserve keyboard/roving focus/selection grammar.
TopBanner,support/TopBanner,SUPPORT_BANNER,PRESERVE_AS_OPTIONAL_OR_MANDATORY_BY_CONTENT,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Optional guidance must not become forced permanent chrome.
UnifiedEditor,structured/UnifiedEditor,EDITOR_ENGINE,PRIMARY_EXECUTABLE_DONOR_SEED,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Must become reusable engine for Library/Learn/compatible authoring surfaces.
W02Nav,navigation/AreaNavigation,AREA_NAVIGATION,ADAPT_DESTINATIONS_ONLY,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,Navigation mechanics reusable; destination taxonomy/domain labels adapt.
WorkspaceViewControl,workspace/ViewModeControl,VIEW_MODE,REUSE_MECHANIC,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,View mode changes CENTER; do not masquerade as Context lens.
FUNCTION_FAMILY:WORKSPACE_PANE_LAYOUT,workspace/PaneAndLayoutEngine,WORKSPACE_PANE_LAYOUT,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"17 named donor functions; examples: workspaceToggleState, updateAllWorkspaceToggleControl, toggleAllWorkspaceToggles, effectivePaneState, setPaneState, paneLimits, clampPaneWidths, paneResizeAvailable, syncPaneCSS, togglePane, resizePane, previewPaneWidth"
FUNCTION_FAMILY:CONTEXT_INSPECTOR,context/ContextInspectorEngine,CONTEXT_INSPECTOR,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"36 named donor functions; examples: contextualInsertionDirection, applyCodeViewPreferences, relatedContextProjection, applyBlockFocusPreferenceDatasets, selectionContext, contextBlockId, syncContextScopeButtons, renderContextLenses, contextTarget, bindReaderReference, unlinkReaderReference, renderInspector"
FUNCTION_FAMILY:COMMAND_ACTION,commands/SemanticCommandAndActionEngine,COMMAND_ACTION,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"10 named donor functions; examples: logCommand, commandAvailability, commandEnabled, openShortcutHelp, openCommandPalette, commandPaletteItems, renderCommandResults, executePaletteCommand, activeSurfaceForShortcut, handleGlobalShortcut"
FUNCTION_FAMILY:UNIFIED_EDITOR_BLOCK,structured/StructuredContentEngine,UNIFIED_EDITOR_BLOCK,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"99 named donor functions; examples: freshBlockId, blockHTML, blockText, maxBlockDepth, serializeBlocks, setCaretByTextOffset, resolveEmptyBlockDirection, blockEmptyDirectionHint, resolvedBlockDirection, contextualInsertionDirection, blockContainsId, localBlockIndent"
FUNCTION_FAMILY:SELECTION,selection/SelectionEngine,SELECTION,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"41 named donor functions; examples: rangeAtTextOffset, selectBlock, clearBlockSelection, portableInlineHTML, editorOwnedPortableInlineHTML, selectedCodePortableHTML, selectionBoundaryPortableHTML, selectionPortableHTML, renderSurfaceSelection, blockSelection, orderedSelectedBlockIds, renderMultiBlockSelection"
FUNCTION_FAMILY:CLIPBOARD,clipboard/ClipboardTrustEngine,CLIPBOARD,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"21 named donor functions; examples: portableInlineHTML, copyNode, editorOwnedPortableInlineHTML, copyOwned, codePortableHTML, blockPortableHTML, selectedCodePortableHTML, selectionBoundaryPortableHTML, selectionPortableHTML, copyPlainBlock, blockToMarkdown, copyMarkdownBlock"
FUNCTION_FAMILY:NOTES_STICKY,notes/NotesAnnotationEngine,NOTES_STICKY,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"14 named donor functions; examples: getNote, freshNoteId, relatedNotes, notesLens, createNote, renderNotes, renderNoteWindow, updateNoteStatus, openNote, requestNoteClose, closeNoteWith, popoutNote"
FUNCTION_FAMILY:HISTORY_RECOVERY,history/TransactionHistoryEngine,HISTORY_RECOVERY,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"6 named donor functions; examples: pushHistory, undo, redo, captureBookmark, restoreBookmark, historyLens"
FUNCTION_FAMILY:PREFERENCES_SETTINGS,preferences/PreferenceEngine,PREFERENCES_SETTINGS,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"19 named donor functions; examples: scheduleAutosaveSimulation, applyCodeViewPreferences, applyBlockFocusPreferenceDatasets, preferenceSnapshot, applyPreferenceSnapshot, resolvedSystemTheme, applyPresentationPreferences, applyDisclosurePreferenceOnOpen, persistPresentationPreferences, restorePresentationPreferences, setDensity, syncThemeControl"
FUNCTION_FAMILY:FOCUS_ACCESSIBILITY,a11y/FocusAndAccessibilityEngine,FOCUS_ACCESSIBILITY,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"11 named donor functions; examples: announce, applyBlockFocusPreferenceDatasets, setBlockFocusOrigin, dismissMainBlockFocus, focusBlock, configureTooltips, toggleFocus, focusableIn, trapFocusWithin, cyclePrimaryRegion, focusedBlockRef"
FUNCTION_FAMILY:RESPONSIVE,presentation/ResponsivePresentationEngine,RESPONSIVE,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"4 named donor functions; examples: clampNote, responsiveBand, clampPaneWidths, applyResponsivePolicy"
FUNCTION_FAMILY:STORAGE_SAVE,foundation/storage_save,STORAGE_SAVE,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"4 named donor functions; examples: setSaveState, scheduleAutosaveSimulation, persistPresentationPreferences, explicitSaveSimulation"
FUNCTION_FAMILY:DRAG_POINTER,foundation/drag_pointer,DRAG_POINTER,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"13 named donor functions; examples: showDragPreview, hideDragPreview, autoscrollDuringDrag, marqueeSafeTarget, startBlockMarquee, updateBlockMarquee, finishBlockMarquee, openBackdrop, closeBackdrop, handlePointerDown, handlePointerMove, handlePointerUp"
FUNCTION_FAMILY:CODE,foundation/code,CODE,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"13 named donor functions; examples: codeRaw, inferCodeLanguage, syntaxTokens, syntaxRenderSegment, renderCodeMarkup, codeLineLabels, applyCodeViewToElement, applyCodeViewPreferences, codePortableHTML, selectedCodePortableHTML, replaceCodeAnnotationRange, restoreCodeSelectionAfterRender"
FUNCTION_FAMILY:OTHER,foundation/other,OTHER,EXTRACT_BEHAVIOR_CONTRACT_AND_REUSABLE_EXECUTABLE_PRIMITIVES,ACCEPTED_EXECUTABLE_DONOR_SUBJECT_TO_CURRENT_OWNER_SUPERSESSION,"96 named donor functions; examples: toast, canOwnChildren, canContain, newDocStore, activeFixture, getStore, surfaceLabel, plainTextFromStoredHTML, walk, findRef, validTree, textOffset"
