requirement_id,requirement,acceptance,status,authority,owner,remaining
OWNER-VIS-UX-011,"Right-click on a node/item/edge/stage/representation opens a context-sensitive action hub whose content is capability-driven by view + object + selection, not a generic duplicated menu.","Context menu exposes high-value object/selection actions, grouped with progressive disclosure; disabled/unavailable actions explain why; keyboard Shift+F10/Menu key reaches the same command definitions; menu closes via command, explicit close where large, outside click and Escape with deterministic focus return.",PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-012,Visualize must have one professional Notes system that supports immediate object-anchored editing and deep Sticky Note editing without separate note engines or duplicate note instances.,note.new on an object creates/opens one NoteWorkingState bound read-only to source identity; quick invocation opens a compact anchored editor near the object; Open as Sticky/Pin promotes the SAME instance to movable/resizable StickyNoteWindow; Context Notes lens lists/opens the same instances; reopening never duplicates; Undo/recovery and Bidi/editor/clipboard semantics remain shared; durable persistence remains AUTHORITY_GATED.,PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-013,"Visualize editing quality must meet the same professional interaction standard as the Library editor: direct editability, low friction, reversible operations, precise selection, alignment/arrangement, predictable menus, rich shortcuts, and no toy/demo feel.",Every admitted editable property/action has direct pointer and keyboard-equivalent access or an equally efficient alternative; selection/primary/focus are distinct; align/distribute/layout/nudge/lock/copy/note/edit-label/duplicate/remove/history behave through one transaction/command model; no silent no-op; focus/caret/object identity survives rerender where semantically applicable.,OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-014,"Provide a familiar, conflict-safe default mouse navigation grammar while allowing remapping/custom profiles.","Default profile: blank LEFT drag in Select mode = marquee; object LEFT drag = move/admitted drag; RIGHT click = context actions; Space+LEFT drag = temporary pan; middle-button drag = pan when supported; wheel = vertical pan/scroll; Shift+wheel = horizontal pan; Ctrl/Cmd+wheel = pointer-centered zoom; fit/zoom remain keyboard accessible. Ctrl/Cmd+LEFT drag pan may be offered as an OPTIONAL remap, not default, because Ctrl/Cmd+click commonly participates in multi-selection.",PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-015,Essential Visualize actions must be accessible through multiple coherent routes without creating multiple state owners.,"Critical operations have keyboard routes and are discoverable in shortcut help/Command Palette; object traversal/select, multi-select, context menu, edit, nudge/reorder, pan, zoom, fit, focus/right inspector, Notes, Undo/Redo and transient close/return are keyboard-operable. Pointer-only essential steps are prohibited. Shortcut conflicts are detected and surfaced in Settings.",PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-016,"Workspace chrome should be user-customizable at very fine granularity: visibility, docking/position, order, density and behavior should be preferences wherever technically/semantically safe.","User can show/hide or auto-show applicable guides, legends, minimap, grid/ruler, state strip, selection frame, note badges, tool groups, TOP_BANNER, LEFT/RIGHT/BOTTOM, contextual helpers and nonessential chrome; applicable toolbars can be reordered, pinned/unpinned and docked to allowed workspace zones or floated; preferred state persists and responsive effective overrides restore it later.",PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-017,Provide reusable workspace customization profiles plus per-view overrides instead of forcing one fixed layout.,"At minimum Default, Focus, Editing, Exploration, Presentation and Custom profiles exist as presentation-preference bundles; user may choose global shared preferences plus Tree/Path/Graph/Canvas overrides; switching profile is reversible and preserves working/canonical data.",OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-018,Mouse/keyboard bindings for Visualize navigation and tools should be user-configurable with safe defaults and conflict detection.,"Settings exposes binding profile, searchable command bindings, remap/reset, conflict warnings and import/export through PreferenceStore; browser/OS-reserved combinations are identified truthfully; remapping changes entry routes only, not command semantics/state owners.",OPEN_OUTSIDE_CURRENT_SLICE,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-019,The surface must remain unmistakably centered on the actual visual work: CENTER dominates; tools support the work rather than visually compete with it.,"At all target widths, overlays/menus/toolbars avoid permanently consuming excessive CENTER space; contextual tools appear near relevance and disappear/compact when idle; Focus Mode can reduce nonessential chrome losslessly; the active view, selection and current editing intention remain immediately understandable.",PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-020,Reference-derived guides/legends/relationship keys/rulers must never become permanently mandatory merely because they appear in a reference image.,Every nonessential guide/legend/ruler has SHOW/HIDE/AUTO (or equivalent) preference; state persists; keyboard/Settings route exists; hiding it does not hide the underlying semantic meaning from accessibility—object/edge labels and inspector semantics remain available.,PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-021,Extreme customization must include deterministic recovery so experimentation cannot strand the user.,"Always provide Reset current view, Reset workspace layout, Reset input bindings, and Restore default visibility; import/export is versioned; unsupported/old preference keys migrate or fall back safely; responsive temporary overrides never overwrite preferred customization.",PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
OWNER-VIS-UX-022,Toolbars themselves are customizable presentation surfaces rather than fixed immutable chrome.,"Eligible tools can be reordered, pinned/unpinned, grouped, hidden, restored and assigned to allowed toolbar zones; frequently used last-tool state may be remembered; responsive layout collapses lower-priority groups into overflow without losing commands; personalization is per-user preference, not canonical workspace data.",PARTIAL_BOUNDED_PROOF,CURRENT_OWNER_REQUIREMENT_NOT_CANDIDATE_DESIGN_ACCEPTANCE,SpatialInteraction + WorkspaceFoundation + domain adapter,"Four specialized editable views, full note presentations, toolbar/remap customization need dedicated parity gate"
