source_name,sha256,bytes,catalog_classification,canonical_authority_class,normative_use,descriptive_use,currentness,acceptance_status,direct_read_requirement,value_preservation_or_reuse,supersession_status,hard_prohibition,content_structure,mission_rule,current_owner_accepted_target,review_scope,foundation_intake_status,foundation_implementation_authority,foundation_intake_note
CEP_CONTROLLER_CURRENT_RECOVERY_HANDOFF_v2.1.md,e6c6912591ee2889f6381713fd244e4dd8db1cfacd77c5bee5a158633a9c1984,1533,SUPPORTING_CONTROL_OR_EVIDENCE,SUPPORTING_CONTROL_OR_EVIDENCE,NO,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,WHEN_MATERIAL_DETAIL_IS_USED,MINE_VALUE_WITH_DISPOSITION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER CURRENT RECOVERY HANDOFF v2.1 | Mandatory startup | W03 | W01/W02,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,SUPPORTING_EVIDENCE_NOT_IMPLEMENTATION_AUTHORITY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_CURRENT_RECOVERY_HANDOFF_v2.2.md,df090190e515d6c61a4018c66ec303d4a269fd747a1609cc91c2307ab01e534e,1064,SUPPORTING_CONTROL_OR_EVIDENCE,SUPPORTING_CONTROL_OR_EVIDENCE,NO,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,WHEN_MATERIAL_DETAIL_IS_USED,MINE_VALUE_WITH_DISPOSITION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER CURRENT RECOVERY HANDOFF v2.2 | Current W01/W02 exact state | Source assurance already complete | Remaining evidence only | W03 | Prohibitions,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,SUPPORTING_EVIDENCE_NOT_IMPLEMENTATION_AUTHORITY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_DECISION_AND_ADJUDICATION_PROTOCOL_v1.0.md,dfe9a2fd4a8b17bc74854746b2050a97f2b4a58406ad8131575524e3f884acc5,1373,CONTROLLER_OS_METHOD,CURRENT_CONTROLLER_METHOD,PROCESS_ONLY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_DESIGN_AUTHORITY,YES_WHEN_EXECUTION_OR_ASSURANCE,REUSE_GOVERNANCE_METHOD,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER DECISION + ADJUDICATION PROTOCOL v1.0 | 1. Trigger | 2. Required decision record | 3. Decision classes | 4. Fail-closed rule | 5. No false closure,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_DECISION_REGISTER_v1.0.json,046af5e10eba24e06610ff63dd6ae51744c797bf1b959455128627cc9ee45c16,3117,CONTROLLER_REGISTER_OR_LESSON,CURRENT_CONTROLLER_REGISTER_OR_LESSON,PROCESS_OR_SCOPED_DECISION,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,YES,REUSE_AFTER_CONFLICT_RESOLUTION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,"JSON keys: version, decisions",Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,EXACT_LOOKUP_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_GOVERNANCE_AND_EXECUTION_METHOD_v1.0.md,48aeabfe336cbc450f313fd987baa4eda8621f7815547d5007e14c5c8441b5ff,3779,CONTROLLER_OS_METHOD,CURRENT_CONTROLLER_METHOD,PROCESS_ONLY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_DESIGN_AUTHORITY,YES_WHEN_EXECUTION_OR_ASSURANCE,REUSE_GOVERNANCE_METHOD,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER GOVERNANCE + EXECUTION METHOD v1.0 | 1. Role definition | 2. Eleven-stage control cycle | C1 — Current-state reconstruction | C2 — Source authority graph | C3 — Requirement admission | C4 — Conflict/non-collapse analysis | C5 — Controller adjudication | C6 — Packet compilation | C7 — Execution isolation | C8 — Independent review | C9 — Owner/design adjudication,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_HANDOFF_AND_RECOVERY_STANDARD_v2.0.md,c52d4d5723e3873336cfbb4b0b14d62e7dfed23075de65f0836e8197745b2e5a,1989,CONTROLLER_OS_METHOD,CURRENT_CONTROLLER_METHOD,PROCESS_ONLY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_DESIGN_AUTHORITY,YES_WHEN_EXECUTION_OR_ASSURANCE,REUSE_GOVERNANCE_METHOD,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER HANDOFF + RECOVERY STANDARD v2.0 | Why v2 | Mandatory handoff sections | Mandatory recovery behavior | Supersession model | Read-budget rule,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_HANDOFF_TEMPLATE_v2.0.md,a8487f1ea437f24bb29e12614d165b60085f0f4bd5f65a3e3a733d7fad34c6b2,543,SUPPORTING_CONTROL_OR_EVIDENCE,SUPPORTING_CONTROL_OR_EVIDENCE,NO,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,WHEN_MATERIAL_DETAIL_IS_USED,MINE_VALUE_WITH_DISPOSITION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER HANDOFF TEMPLATE v2.0 | Classification | Current control pointer | Exact baselines / hashes / branches | Authority graph | Active lanes and write/effect domains | Admitted requirement universes / denominators | Current decisions | Current findings | Open gates + closure oracles | Evidence matrix | Do-not-claim / negative requirements,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,SUPPORTING_EVIDENCE_NOT_IMPLEMENTATION_AUTHORITY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_INDEPENDENT_REVIEW_W01_W02_v1.1.1_v1.0.md,5f4a9ea2cda1f5f20f5199d4e16805dc4c6847d35cd4f89bfe96180e12165699,5014,SUPPORTING_CONTROL_OR_EVIDENCE,INDEPENDENT_CONTROLLER_REVIEW_EVIDENCE,NO_EXCEPT_EXPLICIT_CONTROLLER_FINDING,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,REVIEW_VERDICT_ONLY,YES,MINE_FINDINGS_AND_EVIDENCE_LIMITS,NONE_KNOWN,REVIEW_PASS_NE_OWNER_ACCEPTANCE_UNLESS_EXPLICITLY_ADJUDICATED,CEP CONTROLLER — INDEPENDENT REVIEW W01/W02 Writer-B v1.1.1 — v1.0 | 1. Reviewed identity | 2. Independent checks reproduced | 3. C004 Controller semantic adjudication | 4. Linked Sticky Notes destination-owner adjudication | 5. Zero-Orphan gate re-evaluation | 6. Next disposition,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,SUPPORTING_EVIDENCE_NOT_IMPLEMENTATION_AUTHORITY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_INDEPENDENT_REVIEW_W01_W02_v1.1.5_PRE_COLAB_v1.0.md,32069d8fdf0379afef20fd99b1016149e986a0572609196bb351560583ab3899,5199,RUNTIME_COLAB_METHOD_OR_EVIDENCE,INDEPENDENT_CONTROLLER_REVIEW_EVIDENCE,NO_EXCEPT_EXPLICIT_CONTROLLER_FINDING,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,REVIEW_VERDICT_ONLY,YES,MINE_FINDINGS_AND_EVIDENCE_LIMITS,NONE_KNOWN,REVIEW_PASS_NE_OWNER_ACCEPTANCE_UNLESS_EXPLICITLY_ADJUDICATED,CEP CONTROLLER INDEPENDENT REVIEW — W01/W02 Writer-B v1.1.5 PRE-COLAB — v1.0 | 1. Candidate identity independently verified | 2. Independent source/assurance checks | 3. Material Controller finding | `W12-CTRL-001 — P1 — STALE RANGE-STYLE DENIAL IN CURRENT BLOCK CONTEXT MENU` | Required correction | 4. Historical-note reconciliation | 5. Controller verdict,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_INDEPENDENT_REVIEW_W03_v3.3_v1.0.md,0b4aa97c6e7cb8a859fece91bd4661d2363c10e89baf7abf2b1fc94be3d6b28d,6689,W03_CONTROLLER_REVIEW_OR_CONTROL,INDEPENDENT_CONTROLLER_REVIEW_EVIDENCE,NO_EXCEPT_EXPLICIT_CONTROLLER_FINDING,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,REVIEW_VERDICT_ONLY,YES,MINE_FINDINGS_AND_EVIDENCE_LIMITS,NONE_KNOWN,REVIEW_PASS_NE_OWNER_ACCEPTANCE_UNLESS_EXPLICITLY_ADJUDICATED,CEP CONTROLLER — INDEPENDENT REVIEW OF W03 v3.3 — v1.0 | 1. Reviewed identity | 2. Independent preservation/identity checks | 3. Positive Controller observations | 4. Controller findings | W03-CTRL-001 — P1 — GLOBAL GUIDANCE DEFAULT / SUPPORT-UI LAW VIOLATION | W03-CTRL-002 — P1 — INTERNAL/DONOR SPATIAL BADGES EXPOSED AS PERMANENT PRODUCT CHROME | W03-CTRL-003 — P1 — REACHABLE STALE SCENARIOS VALIDATION SEMANTICS | W03-CTRL-004 — P2 — STALE DOCUMENT TITLE / LINEAGE LABEL | W03-CTRL-005 — P2 — SHARED TRANSIENT LOCALIZATION RESIDUES | 5. Disposition | 6. Required next gate,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,SUPPORTING_EVIDENCE_NOT_IMPLEMENTATION_AUTHORITY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_KNOWLEDGE_PROMOTION_AND_ZERO_LOSS_PROTOCOL_v1.0.md,ee4ba85e4b910c3eeb0854bed24c900b1251c181d3d0e2f9c2c1b0837f6d2bd3,1461,CONTROLLER_OS_METHOD,CURRENT_CONTROLLER_METHOD,PROCESS_ONLY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_DESIGN_AUTHORITY,YES_WHEN_EXECUTION_OR_ASSURANCE,REUSE_GOVERNANCE_METHOD,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER KNOWLEDGE PROMOTION + ZERO-LOSS PROTOCOL v1.0 | 1. Purpose | 2. Capture triggers | 3. Promotion ladder | 4. Generalization test | 5. Zero-loss reconciliation | 6. Control debt,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_LESSONS_AND_FAILURE_PATTERNS_v1.0.json,a3d2c675ae61f0f184657cbf7ea7d66661b84ca29922670454871f0cf80e7ef9,7439,CONTROLLER_REGISTER_OR_LESSON,CURRENT_CONTROLLER_REGISTER_OR_LESSON,PROCESS_OR_SCOPED_DECISION,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,YES,REUSE_AFTER_CONFLICT_RESOLUTION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,"JSON keys: version, status, lessons",Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,EXACT_LOOKUP_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_OPEN_GATES_REGISTER_v1.0.json,478f3f9ea851b9a27333f86dcc0a14f591429ea8a8d8e49c5f9f4c7ba0f31bf3,1787,CONTROLLER_REGISTER_OR_LESSON,CURRENT_CONTROLLER_REGISTER_OR_LESSON,PROCESS_OR_SCOPED_DECISION,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_ACCEPTANCE,YES,REUSE_AFTER_CONFLICT_RESOLUTION,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,"JSON keys: version, gates",Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,EXACT_LOOKUP_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_OPERATING_SYSTEM_MANIFEST_v1.0.md,92b092107de0416fee125ce43d4f8253bc8174aea2fbb0f0cddfe1f33e510fe3,1618,CONTROLLER_OS_METHOD,CURRENT_CONTROLLER_OS,EXECUTION_GOVERNANCE_ONLY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_TRUTH,YES,FOLLOW_FOR_CURRENT_EXECUTION_STATE,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER OPERATING SYSTEM MANIFEST v1.0 | Mandatory files | Read first | Methods | Registers | Recovery | Lessons | Templates | Workspace-specific controls | Inheritance,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_OPERATING_SYSTEM_READ_FIRST_v1.0.md,db0f554aebc48f21d5971d3860f327269807ff2e47663e9a3d89df4aaa4da4d1,3875,CONTROLLER_OS_METHOD,CURRENT_CONTROLLER_OS,EXECUTION_GOVERNANCE_ONLY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,CURRENT_OR_RETAINED,NOT_PRODUCT_TRUTH,YES,FOLLOW_FOR_CURRENT_EXECUTION_STATE,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,CEP CONTROLLER OPERATING SYSTEM — READ FIRST v1.0 | 0. Prime directive | 1. Mandatory startup sequence for EVERY Controller / successor Controller | 2. Controller truth domains — NEVER collapse them | 3. Mandatory Controller loop | 4. Zero-loss law | 5. Controller impact law | 6. Core learned protections now mandatory | 7. End-of-wave duty,Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,METHOD_ONLY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
CEP_CONTROLLER_OS_v1.0_BUNDLE.zip,14e32728ab62b713031e98a1accf9128a4308bda4499223add5431d8e18e6c72,35748,SUPPORTING_CONTROL_OR_EVIDENCE,PACKAGING_DUPLICATE_OF_CONTROLLER_OS,NO_INDEPENDENT_AUTHORITY,YES_WHERE_EXACT_IDENTITY_OR_OBSERVATION,DUPLICATE_CONTAINER,NOT_PRODUCT_ACCEPTANCE,WHEN_MATERIAL_DETAIL_IS_USED,CONTENTS_ONLY,NONE_KNOWN,DO_NOT_PROMOTE_EVIDENCE_TO_OWNER_ACCEPTANCE,"ZIP members=24; types={'.json': 6, '.md': 17, '.txt': 1}",Current direct Owner supersedes conflicting clauses; acceptance does not transfer from title/version,False,Source normative/descriptive separation preserved from bundled content registry,SUPPORTING_EVIDENCE_NOT_IMPLEMENTATION_AUTHORITY,false,No retained source auto-promotes old Production/GitHub/stack implementation into current Foundation authority.
