id,surface,kind,requirement,source,disposition,implementation,before,after,guard,owner
enterprise.inspect,enterprise,DOMAIN_COMMAND,No selection never displays previous device as active,bigboss/O05/surfaces/enterprise.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,selection any,context displays exact device/interface/link identity,Actor can read Enterprise revision,W03EnterpriseDomain
enterprise.edit,enterprise,DOMAIN_COMMAND,IP/link relation validation occurs before write; geometry alone leaves relationships intact,bigboss/O05/surfaces/enterprise.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,authoring=DRAFT|DIRTY,authoring=DIRTY with domain transaction,Endpoint interface types and membership valid; published version cannot change,W03EnterpriseDomain
enterprise.revise,enterprise,DOMAIN_COMMAND,Original baseline digest remains identical,bigboss/O05/surfaces/enterprise.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,authoring=PUBLISHED,new draft with lineage; original unchanged,Revision read and successor create permission,W03EnterpriseDomain
enterprise.twin,enterprise,DOMAIN_COMMAND,Rebase cannot silently convert simulation-local objects into enterprise inventory,bigboss/O05/surfaces/enterprise.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,twin absent|BASELINE_STALE,BOUND only after explicit conflict resolution,Overlay refs classify enterprise-backed vs simulation-local,W03EnterpriseDomain
enterprise.handoff,enterprise,DOMAIN_COMMAND,Handoff performs zero live device changes and does not itself start run,bigboss/O05/surfaces/enterprise.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,authoring=PUBLISHED,Run preparation receipt only,Pinned source digests available,W03EnterpriseDomain
evidence.INV.1,evidence,DOMAIN_INVARIANT,Admission is not acceptance or Mastery,bigboss/O05/surfaces/evidence.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
evidence.INV.2,evidence,DOMAIN_INVARIANT,"Evidence lifecycle, Review status and effective Decision are independent",bigboss/O05/surfaces/evidence.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
evidence.INV.3,evidence,DOMAIN_INVARIANT,"ImportedEvidenceRecord pending_review is legacy flow, not full new admission state machine",bigboss/O05/surfaces/evidence.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
evidence.INV.4,evidence,DOMAIN_INVARIANT,Source facts never overwritten by user explanation,bigboss/O05/surfaces/evidence.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
evidence.inspect,evidence,DOMAIN_COMMAND,Source-superseded Evidence retains prior effective Decision visibly,bigboss/O05/surfaces/evidence.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,evidence any,provenance and independent review dimensions shown,Read authority and exact revision,W04EvidenceDomain
evidence.import,evidence,DOMAIN_COMMAND,"Import creates candidate, never auto-accepted Evidence",bigboss/O05/surfaces/evidence.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,candidate absent,candidate=PREPARED or REJECTED,Actor-bound source identity/digest; package validation separate,W04EvidenceDomain
evidence.amend,evidence,DOMAIN_COMMAND,Evidence N unchanged until admission creates N+1,bigboss/O05/surfaces/evidence.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,evidence active/superseded,candidate=PREPARED with base Evidence revision,No prior fact mutation; exact base CAS,W04EvidenceDomain
evidence.admit,evidence,DOMAIN_COMMAND,Two concurrent admissions cannot create duplicate Evidence revision; no Review Decision created,bigboss/O05/surfaces/evidence.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,candidate=VALIDATED,candidate=ADMITTED plus new immutable EvidenceRevision,Real admission authority; source checks; expected prior revision,W04EvidenceDomain
evidence.sourceChoice,evidence,DOMAIN_COMMAND,Withdraw does not delete history or mutate prior Decision,bigboss/O05/surfaces/evidence.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,evidence=SOURCE_SUPERSEDED,update→Amendment; retain→historical flag; withdraw→WITHDRAWN,Retain requires reason; all branches preserve source facts,W04EvidenceDomain
health.INV.1,health,DOMAIN_INVARIANT,Queue table exists does not imply alive worker,bigboss/O05/surfaces/health.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
health.INV.2,health,DOMAIN_INVARIANT,Refresh is not a durable diagnostic run,bigboss/O05/surfaces/health.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
health.INV.3,health,DOMAIN_INVARIANT,Unknown source never appears green,bigboss/O05/surfaces/health.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
health.refresh,health,DOMAIN_COMMAND,Zero queue + expired heartbeat yields EMPTY queue and EXPIRED worker,bigboss/O05/surfaces/health.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,refresh=IDLE,refresh=IDLE with per-source epistemic states,Authenticated source access; no diagnostic creation,W05HealthDomain
health.inspect,health,DOMAIN_COMMAND,Unavailable source includes observedAt only if actually observed,bigboss/O05/surfaces/health.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,observation any,source detail shown,Exact observation identity,W05HealthDomain
health.diagnose,health,DOMAIN_COMMAND,Refresh never increments diagnostic history; diagnose does,bigboss/O05/surfaces/health.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,observation selected,diagnostic request ID visible,Diagnostic capability exists and actor authorized,W05HealthDomain
labs.INV.1,labs,DOMAIN_INVARIANT,Lab definition is not Run instance,bigboss/O05/surfaces/labs.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
labs.INV.2,labs,DOMAIN_INVARIANT,"Reset execution creates new runtime state, not source overwrite",bigboss/O05/surfaces/labs.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
labs.INV.3,labs,DOMAIN_INVARIANT,Simulated-only tools labelled explicitly,bigboss/O05/surfaces/labs.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
labs.INV.4,labs,DOMAIN_INVARIANT,Scenario reference does not transfer Lab ownership,bigboss/O05/surfaces/labs.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
labs.author,labs,DOMAIN_COMMAND,Same Lab revision reusable in two scenarios without duplicated definition,bigboss/O05/surfaces/labs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,definition=DRAFT|DIRTY,definition=DIRTY,Lab adapter validates task IDs and tool references,W03LabDomain
labs.preflight,labs,DOMAIN_COMMAND,Absent terminal adapter blocks only terminal requirement and run start,bigboss/O05/surfaces/labs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,definition=PUBLISHED,preflight READY or BLOCKED,Provider reports real capabilities; fixture not production support,W03LabDomain
labs.handoff,labs,DOMAIN_COMMAND,Module and standalone executions share definition identity but distinct run IDs,bigboss/O05/surfaces/labs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,preflight=READY,frozen Lab input linked to standalone or Scenario context,Exact Lab/environment revision identity,W03LabDomain
labs.revise,labs,DOMAIN_COMMAND,Old result still resolves original Lab revision,bigboss/O05/surfaces/labs.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,definition=PUBLISHED,definition=DRAFT,No in-place historical definition update,W03LabDomain
learn.INV.1,learn,DOMAIN_INVARIANT,No prerequisite navigation lock,bigboss/O05/surfaces/learn.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
learn.INV.2,learn,DOMAIN_INVARIANT,Read/Edit/Mixed allowed by actual object editability,bigboss/O05/surfaces/learn.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
learn.INV.3,learn,DOMAIN_INVARIANT,Lab-learning activity never becomes W03 runtime,bigboss/O05/surfaces/learn.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
learn.INV.4,learn,DOMAIN_INVARIANT,Assessment outcome never writes Mastery directly,bigboss/O05/surfaces/learn.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
learn.open,learn,DOMAIN_COMMAND,Future assessment opens while prerequisite incomplete,bigboss/O05/surfaces/learn.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,any progress,activity visible; progress unchanged,Read authorization and identity only,LearnDomain
learn.edit,learn,DOMAIN_COMMAND,Changing learning content never edits completed attempt source,bigboss/O05/surfaces/learn.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,editor=READ and editable draft,editor=EDIT|MIXED; draft dirty,Actual editable draft or explicit successor draft,LearnDomain
learn.practice,learn,DOMAIN_COMMAND,Duplicate submit returns same attempt receipt and no duplicate score,bigboss/O05/surfaces/learn.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,activity=NOT_STARTED|IN_PROGRESS,start→IN_PROGRESS; submit→SUBMITTED,Pinned activity and unique attempt invocation; answers validated by activity kind,LearnDomain
learn.review,learn,DOMAIN_COMMAND,Feedback visibility cannot create formal Review or Mastery,bigboss/O05/surfaces/learn.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,feedback available,feedback view; no W04 Decision,Exact attempt/activity pair,LearnDomain
library.INV.1,library,DOMAIN_INVARIANT,One UnifiedEditor working transaction owner,bigboss/O05/surfaces/library.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
library.INV.2,library,DOMAIN_INVARIANT,"Published content uses new revision, never overwrite",bigboss/O05/surfaces/library.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
library.INV.3,library,DOMAIN_INVARIANT,Presentation direction does not rewrite block metadata,bigboss/O05/surfaces/library.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
library.INV.4,library,DOMAIN_INVARIANT,"279/80/33/39/25 historical counts are derived claims, not revalidated here",bigboss/O05/surfaces/library.json,ADMIT_UNSUPERSEDED_SEMANTIC,BOUNDED_FIXTURE,,,,
library.create,library,DOMAIN_COMMAND,New document round trip retains block IDs and empty insertion point,bigboss/O05/surfaces/library.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,document absent,document=CLEAN_DRAFT with stable IDs,Document ID unused; actor owns creation; block schema valid,LibraryDomain
library.insert,library,DOMAIN_COMMAND,Insert between list items preserves neighbours and selection; undo reverses only insertion,bigboss/O05/surfaces/library.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,document=CLEAN_DRAFT|DIRTY,document=DIRTY with one undo transaction,Anchor exists in same working revision; sanitize rich input,LibraryDomain
library.save,library,DOMAIN_COMMAND,Concurrent save gets 409 and retains both local draft and server ref,bigboss/O05/surfaces/library.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,document=DIRTY|SAVE_FAILED,ACK produces CLEAN_DRAFT; mismatch CONFLICT,Expected working revision equals stored revision,LibraryDomain
library.revise,library,DOMAIN_COMMAND,Published digest unchanged after edit of successor,bigboss/O05/surfaces/library.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,document=PUBLISHED,new working revision refers to published source,Read source and create permission; source digest valid,LibraryDomain
library.history,library,DOMAIN_COMMAND,Missing revision is unavailable; never compare latest aliases,bigboss/O05/surfaces/library.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,two exact revisions selected,diff with added/removed/moved/changed blocks,Same document or explicit cross-document comparison,LibraryDomain
manual_ai.INV.1,manual_ai,DOMAIN_INVARIANT,MANUAL_ONLY / PROVIDER_NEUTRAL,bigboss/O05/surfaces/manual_ai.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
manual_ai.INV.2,manual_ai,DOMAIN_INVARIANT,No provider keys/API/polling/embeddings,bigboss/O05/surfaces/manual_ai.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
manual_ai.INV.3,manual_ai,DOMAIN_INVARIANT,Accept creates draft only,bigboss/O05/surfaces/manual_ai.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
manual_ai.INV.4,manual_ai,DOMAIN_INVARIANT,Invalid provenance fails closed for draft creation,bigboss/O05/surfaces/manual_ai.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
manual_ai.draft,manual_ai,DOMAIN_COMMAND,Editing request emits zero external provider network requests,bigboss/O05/surfaces/manual_ai.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal=PREPARED,proposal=PREPARED dirty,Manual data only; no outbound provider invocation,W05AIBDomain
manual_ai.export,manual_ai,DOMAIN_COMMAND,Export contains provenance/digest and no secret fields,bigboss/O05/surfaces/manual_ai.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal=PREPARED,proposal=EXPORTED with digest,Allowlisted source refs; no credentials,W05AIBDomain
manual_ai.import,manual_ai,DOMAIN_COMMAND,Mismatched source blocks draft creation without deleting proposal,bigboss/O05/surfaces/manual_ai.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal=EXPORTED,IMPORTED or PROVENANCE_INVALID,Source/revision/digest must match declared request,W05AIBDomain
manual_ai.review,manual_ai,DOMAIN_COMMAND,"ACCEPT returns draft ID, leaves published revision unchanged",bigboss/O05/surfaces/manual_ai.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,proposal=IMPORTED,ACCEPT→ACCEPTED_AS_DRAFT; others retain explicit branch,Actor authorized; ACCEPT revalidates provenance and creates draft idempotently,W05AIBDomain
mastery.INV.1,mastery,DOMAIN_INVARIANT,Do not create competing Mastery table because current namespace is Learning,bigboss/O05/surfaces/mastery.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
mastery.INV.2,mastery,DOMAIN_INVARIANT,Completion percentage never recomputes canonical mastery,bigboss/O05/surfaces/mastery.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
mastery.INV.3,mastery,DOMAIN_INVARIANT,MASTERED and REVALIDATION_REQUIRED may coexist,bigboss/O05/surfaces/mastery.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
mastery.INV.4,mastery,DOMAIN_INVARIANT,No institutional authority inferred from personal evaluation,bigboss/O05/surfaces/mastery.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
mastery.inspect,mastery,DOMAIN_COMMAND,MASTERED + REVALIDATION_REQUIRED renders without coercion,bigboss/O05/surfaces/mastery.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,any judgment/freshness,judgment and freshness shown independently,Exact subject and policy authorization,W04MasteryDomain
mastery.explain,mastery,DOMAIN_COMMAND,"Missing one Evidence shows exact missing ref, not recomputed score",bigboss/O05/surfaces/mastery.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,evaluation exists,Policy→criteria/findings→Decision→Evidence trace,No local score substitution,W04MasteryDomain
mastery.reevaluate,mastery,DOMAIN_COMMAND,Predecessor reevaluate affordance becomes inspect/request route; zero local Mastery writes,bigboss/O05/surfaces/mastery.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,freshness=REVALIDATION_REQUIRED,read-only requirements; no judgment write,This command deliberately has no evaluation mutation authority,W04MasteryDomain
portfolio.INV.1,portfolio,DOMAIN_INVARIANT,Removing membership never deletes Evidence/Mastery,bigboss/O05/surfaces/portfolio.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
portfolio.INV.2,portfolio,DOMAIN_INVARIANT,No invented Project/Learning Objective registry,bigboss/O05/surfaces/portfolio.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
portfolio.INV.3,portfolio,DOMAIN_INVARIANT,"Export binds refs and source disposition, not duplicate canonical authority",bigboss/O05/surfaces/portfolio.json,ADMIT_UNSUPERSEDED_SEMANTIC,CONTRACT_ONLY,,,,
portfolio.curate,portfolio,DOMAIN_COMMAND,Removing membership preserves canonical source digest and row count,bigboss/O05/surfaces/portfolio.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,portfolio exists,membership updated; source unchanged,Read source and write portfolio permission; version check via envelope,W04PortfolioDomain
portfolio.filter,portfolio,DOMAIN_COMMAND,No filter creates taxonomy or modifies member source,bigboss/O05/surfaces/portfolio.json,PRESERVE_SEMANTICS_REBIND_LOCAL_ADAPTER,SEE_RUNTIME_COMMAND_REGISTRY; otherwise CONTRACT_ONLY,members visible,filtered membership projection,Use known source types; registry grouping stays gated,W04PortfolioDomain
