decision_id,priority,scope,family,decision,supersedes,status,authority,resolution,evidence,implementation_status,source,future_work_rule,mission_override
OWNER-20260910-011,P0,ALL_SURFACES,GLOBAL_LAYOUT_SLOT_CONSTITUTION,"Provide executable universal layout/slot templates. Shared pane/toolbar/context/action surfaces keep the same layout grammar, design language, placement grammar and interaction model; surfaces change domain content/actions only.",Surface-local layout invention.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-011,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-012,P0,WORKSPACE_PANES,PANE_SYSTEM_UNIFICATION,"LEFT/RIGHT side panes, TOP region and BOTTOM shelf use shared pane/region mechanics. Internal pane close/collapse controls are distinct from external edge reveal/toggle controls. Resize/responsive/preferred-vs-effective behavior is shared.",Independent pane mechanics and ambiguous reopen controls.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-012,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-013,P0,TOOLBARS,TOOLBAR_TEMPLATE_UNIFICATION,"Use one toolbar template/grammar with stable universal action slots, common behavior/location and customizable composition. Domain actions bind into slots instead of redefining toolbar layout.",Different toolbar grammar/placement per surface.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-013,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-014,P0,ACTIONS_TRANSIENTS,ACTION_SURFACE_REUSE,"Command Palette, Context Action Menu, Selection Action Surface and similar reusable action containers use common executable templates; only command groups/capability bindings change.",Independent menus/palettes per surface.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-014,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-015,P0,INTERACTION,MULTI_ROUTE_REVERSIBILITY,"Keyboard is one route, not the only route. Reversible/transient UI requires multiple appropriate reverse/dismiss routes; persistent panes must not disappear merely from focus loss.",Escape-only or keyboard-only exit behavior.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-015,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-016,P0,LEARN,MAX_LIBRARY_INHERITANCE,Learn should feel like the Library-grade workbench/editor with learning-specific journey/practice/assessment/lab/progress/recommendation additions; do not resurrect the old consumption-only/no-authoring CENTER restriction.,Old Learn no-authoring CENTER / read-only-first authority.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-016,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-017,P0,W03_RUNTIME,INTERNAL_SIMULATION_DEFAULT,W03 default is InternalSimulationAdapter. Container/VM/remote/real-device are optional adapters. Simulated terminal commands operate simulation state; PowerShell/WSL/PTy are not default W03 requirements.,Host-shell-first terminal interpretation.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-017,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-018,P1,STACK_PROOF,TECHNOLOGY_MUST_EARN_ADMISSION,Vue/TypeScript/Vite/Vue Flow/Electron/Tauri/Python bridge/SQLite/xterm.js are candidates or specialized tools only; no final stack freeze before measured proof.,Historical-stack preservation by inertia.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-018,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-019,P0,WORK_OUTPUT,EXECUTABLE_NOT_PROSE_ONLY,"Foundation outputs must be executable/reusable components/templates/cores plus machine-readable contracts and tests, not merely guidelines or reference prose.",Documentation-only design system.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-019,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OWNER-20260910-020,P0,GOVERNANCE,MINIMIZE_WRITER_DISCRETION,"Foundation and surface contracts should constrain future Writers so generic design/interaction choices are inherited, not reinvented. Deviations require explicit justification.",Writer-local design discretion for shared mechanics.,CURRENT,CURRENT_DIRECT_OWNER_2026_09_10,ENFORCE_CURRENT_OWNER,01_AUTHORITY/OWNER_CURRENT_SUPERSESSION_ADDENDUM_v1.0.csv#OWNER-20260910-020,See mechanic/requirement ledger; resolution is not proof of implementation,,,
OSD-001,P0,PORTFOLIO,OWNER_SOVEREIGNTY,"When current direct Owner intent conflicts with older surface contracts, reviewer packets, writer assumptions, or planning cautions, the current direct Owner intent controls normative design synthesis. Descriptive current-code facts remain factual and are not rewritten by preference.",conflicting legacy normative authority,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-001,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-002,P0,PORTFOLIO,FREEDOM,"For this single-owner personal platform, default to freedom of navigation, inspection, editing, customization, reordering, revisiting and experimentation unless a hard constraint passes the Restriction Legitimacy Test.",forced workflow defaults,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-002,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-003,P0,LEARN+PORTFOLIO,FREEDOM,"Prerequisites, recommendations, progression, warnings and preferred workflows guide the Owner but do not arbitrarily block access.",hard progression locks,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-003,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-004,P0,PORTFOLIO,RESTRICTION,"A hard restriction is valid only when required by irreversible integrity, security/access control, external platform impossibility, legal/safety constraint, or a deliberately selected Owner policy. Otherwise downgrade it to guidance, warning, configurable policy or recoverable override.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-004,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-005,P0,PORTFOLIO,EDITABILITY,Any user-owned semantically editable object should have a professional edit route. Do not make ordinary editable content read-only merely because a prior surface was consumption-oriented.,consumption-only assumptions,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-005,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-006,P0,PORTFOLIO,EDITABILITY,"Integrity-sensitive records should preserve provenance/history via revision, supersession, annotation, restore-as-new, or explicit advanced override instead of paternalistic blanket denial.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-006,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-007,P1,PORTFOLIO,EDITABILITY,"If an object/property can safely be edited in place, prefer direct edit plus alternative routes rather than forcing navigation to a separate settings/edit page.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-007,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-008,P0,PORTFOLIO,INHERITANCE,A mature donor mechanic is the default foundation for eligible surfaces. Deviation requires an explicit reason; do not rebuild a poorer parallel engine.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-008,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-009,P0,PORTFOLIO,INHERITANCE,"Accepted donors are not immutable templates. Weak interaction, accessibility, organization, performance or architecture may be improved while preserving useful value.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-009,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-010,P0,PORTFOLIO,INHERITANCE,New surfaces should add domain-specific capabilities above eligible shared foundations rather than replace mature shared mechanics with a thinner bespoke UI.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-010,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-011,P0,PORTFOLIO,QUALITY_FLOOR,"For eligible structured/workbench surfaces, the mature Library interaction/editor/pane/note/customization/accessibility quality is a floor, not a ceiling.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-011,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-012,P0,W02_LEARN,LEARN,Learn should inherit the eligible Library workspace/editor foundation deeply and build learning-specific progress/journey/practice/assessment/lab tools on top.,Learn consumption-only UI,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-012,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-013,P0,W02_LEARN,LEARN,Learn lessons/sections/practice/assessment may expose progression/recommendation status but must not be arbitrarily inaccessible solely because an earlier activity is incomplete.,Assessment locked until Practice; sequential lesson locks,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-013,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-014,P0,W02_LEARN,LEARN,Do not ban authoring chrome from Learn CENTER by category. Reuse the unified editor for editable canonical/user-owned learning content and apply capability profiles for Learn-specific semantics.,Do not put authoring chrome on CENTER,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-014,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-015,P0,W02_LEARN,LEARN,"Learn should support reading, writing/editing, focus and mixed modes where meaningful, with explicit current mode and reversible switching.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-015,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-016,P0,W02_LEARN,LEARN,Tracking completion/progress is useful and should remain truthful even though it does not gate access.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-016,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-017,P0,PORTFOLIO,MULTI_ROUTE,An essential capability must not depend unnecessarily on one input modality or one hidden route.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-017,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-018,P0,PORTFOLIO,MULTI_ROUTE,"Pointer, keyboard, context menu, command search, inspector and other entry routes for the same intention dispatch one semantic owner and produce equivalent state effects.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-018,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-019,P0,PORTFOLIO,MULTI_ROUTE,"A control that opens/enables/expands a reversible state normally provides a direct discoverable route to reverse it, including same-control toggle when the widget pattern supports it.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-019,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-020,P0,PORTFOLIO,DISMISSAL,Do not apply one close rule to every transient. Define dismissal semantics by disclosure/menu/popover/palette/modal/modeless/pinned/persistent class.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-020,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-021,P0,PORTFOLIO,DISMISSAL,"Command/search palettes must support multiple appropriate dismiss routes such as Esc, visible close where useful, outside pointer dismissal, selection/commit behavior, conflicting-transient replacement and focus-out when truly leaving a non-modal interaction subtree.",Escape-only command palette,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-021,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-022,P0,PORTFOLIO,DISMISSAL,Modal dialogs keep background inert and focus contained; provide Esc plus visible Close/Cancel and explicit completion routes. Outside click dismissal is optional only when safe.,,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-022,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
OSD-023,P0,PORTFOLIO,DISMISSAL,"Disclosure/accordion/toggle controls should support activation of the same trigger to open and close, with Enter/Space parity. Auto-close of sibling sections may coexist but is not the only close route.",,CURRENT_UNLESS_SUPERSEDED_BY_LATER_OWNER_DIRECT,CURRENT_DIRECT_OWNER_BIG_BOSS_NORMALIZED,ADMIT_UNSUPERSEDED_CONCEPT_ONLY,CEP_CANONICAL_DECISION_SUPERSESSION_REGISTRY_v1.0.csv#OSD-023,DESIGN_REQUIREMENT_NOT_PRODUCT_IMPLEMENTED,Big Boss v1.2 O01/owner_intent_registry.json,ADMIT_NORMATIVE_NEED; DO_NOT_IMPORT_STACK_SPECIFIC_TARGET_PATHS,All OWNER-20260910 rows take precedence; physical paths/server/auth claims are not target law
