test_id,surface,mechanic,precondition,action,expected_transition,negative_assertion,required_evidence,status
IM-RES-NOTE,Results,Notes/Sticky identity,Eligible object selected,Create note → sticky → move/resize → close/reopen,Same note ID/content throughout,No duplicate note on reopen; no lost binding,browser identity + screenshot,OPEN
IM-RUN-STRUCT,Runs,Structure navigation,Operations center visible,Select each structure item/lens,Correct region (CENTER or RIGHT Context) changes according to classification,No selected navigation item leaves intended target region stale,before/after DOM signatures + screenshots,OPEN
IM-RUN-MODES,Runs,Run modes,One run mode active,Switch Preflight/Operations/Timeline/Topology,CENTER visibly changes with stable run identity,No aria-selected-only transition,browser + screenshots,OPEN
IM-ENT-MODES,Enterprise,Enterprise modes,Topology/model workspace loaded,Switch Model/Topology/State/Behavior/Validation,Each control uses adjudicated CENTER or Context semantics,No workspace-looking tab opens only ambiguous small transient,browser + screenshots,OPEN
IM-LAB-STRUCT,Labs,Labs modes/structure,Lab selected,Switch all modes/structure entries,"Correct target region changes, state sync preserved",No stale center/context,browser + screenshots,OPEN
IM-SCN-REL,Scenarios,Relation authoring,2+ eligible objects selected,Connect → relation composer → apply/cancel,Composer has source/target/type/direction/version pins as applicable,No visual edge silently mutates canonical relation without semantic command,browser + command payload,OPEN
IM-ENT-REL,Enterprise,Relation authoring,2+ devices/entities selected,Connect → relation composer,Same shared interaction grammar + Enterprise domain adapter,No generic hardcoded relation; no duplicate owner,browser + command payload,OPEN
IM-LAB-REL,Labs,Relation/branch authoring,Eligible objects selected,Connect/Edit Relationship/Add Branch,Domain-valid composer and view sync,No unsupported branch shown without N/A reason,browser + command payload,OPEN
IM-ENT-SHELL,Enterprise,OPEN_TERMINAL entry parity,Eligible device/session/run object,Use all admitted routes: dblclick/context/palette/inspector/list/multiselect,Routes converge to same command and session identity,Non-capable object does not open terminal; no fake provider I/O,browser + session-id assertions,OPEN
IM-SCE-SHELL,Scenarios,OPEN_TERMINAL entry parity,Eligible device/session/run object,Use all admitted routes: dblclick/context/palette/inspector/list/multiselect,Routes converge to same command and session identity,Non-capable object does not open terminal; no fake provider I/O,browser + session-id assertions,OPEN
IM-LAB-SHELL,Labs,OPEN_TERMINAL entry parity,Eligible device/session/run object,Use all admitted routes: dblclick/context/palette/inspector/list/multiselect,Routes converge to same command and session identity,Non-capable object does not open terminal; no fake provider I/O,browser + session-id assertions,OPEN
IM-RUN-SHELL,Runs,OPEN_TERMINAL entry parity,Eligible device/session/run object,Use all admitted routes: dblclick/context/palette/inspector/list/multiselect,Routes converge to same command and session identity,Non-capable object does not open terminal; no fake provider I/O,browser + session-id assertions,OPEN
IM-RES-HIST,Results,Historical terminal,Recorded terminal output available,Open terminal/session evidence,RECORDED_READ_ONLY viewer opens,No live shell execution route,browser + disabled/action truth,OPEN
IM-OPS-TABS,Shared Operational,Real session tabs,Open 3 sessions/tools,Switch/reorder/close tabs,Visible tab strip and stable active session identity,Tab presentation mode is not mistaken for session switching,browser + screenshot + ID assertions,OPEN
IM-OPS-WINDOW,Shared Operational,Window move/resize,Floating session open,Pointer move + edge/corner resize + pin/dock,Predictable resize/move/clamp; state retained,No accidental content drag; no invisible-only native corner reliance,browser pointer geometry + screenshot,OPEN
IM-ENT-PAN,Enterprise,Spatial pan routes,Eligible spatial viewport,"Test MMB drag, Space+LMB drag, Ctrl+RMB drag, RMB click",Three pan routes pan; plain RMB opens Context,Ctrl+RMB drag does not open Context; RMB click does not pan; marquee/object move unchanged,pointer delta + viewport transform + context state,OPEN
IM-SCE-PAN,Scenarios,Spatial pan routes,Eligible spatial viewport,"Test MMB drag, Space+LMB drag, Ctrl+RMB drag, RMB click",Three pan routes pan; plain RMB opens Context,Ctrl+RMB drag does not open Context; RMB click does not pan; marquee/object move unchanged,pointer delta + viewport transform + context state,OPEN
IM-LAB-PAN,Labs,Spatial pan routes,Eligible spatial viewport,"Test MMB drag, Space+LMB drag, Ctrl+RMB drag, RMB click",Three pan routes pan; plain RMB opens Context,Ctrl+RMB drag does not open Context; RMB click does not pan; marquee/object move unchanged,pointer delta + viewport transform + context state,OPEN
IM-RUN-PAN,Runs,Spatial pan routes,Eligible spatial viewport,"Test MMB drag, Space+LMB drag, Ctrl+RMB drag, RMB click",Three pan routes pan; plain RMB opens Context,Ctrl+RMB drag does not open Context; RMB click does not pan; marquee/object move unchanged,pointer delta + viewport transform + context state,OPEN
