BLUEPRINT_REQ_ID,BLUEPRINT_LOCATION,BLUEPRINT_SELECTOR_OR_FUNCTION,BLUEPRINT_INTENT,CATEGORY,PRODUCTION_FILE,PRODUCTION_SYMBOL,PRODUCTION_STATE_OWNER,PRODUCTION_COMMAND_OWNER,PRODUCTION_STYLE_OWNER,PRODUCTION_API_OR_PERSISTENCE_OWNER,STATIC_PROOF,SEMANTIC_PROOF,TEST_PROOF,RUNTIME_PROOF,VISUAL_PROOF,RESPONSIVE_PROOF,A11Y_PROOF,BIDI_PROOF,VERDICT,SEVERITY,NOTES
LBP-025,Accepted Library v1.2.17:L1509,openSelectionBlockMenu,Selection-aware block menu,CONTEXT_MENU,resources/js/workbench/StructuredEditor.vue,@contextmenu selects/focuses only,Transient context target,block.menu,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,Contextmenu event exists but does not expose a true block menu; C019.
LBP-026,Accepted Library v1.2.17:L1539,openReaderBlockMenu,Read-mode block context menu,CONTEXT_MENU,resources/js/workbench/StructuredEditor.vue,read click/focus inspect only,Transient context target,reader.blockMenu,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,Read Mode inspection exists but accepted reader action surface is incomplete.
LBP-027,Accepted Library v1.2.17:L1409,portableInlineHTML,Portable formatted clipboard payload,CLIPBOARD,resources/js/shared/ClipboardTrustCore.ts,sanitizePaste,Clipboard policy,clipboard.paste,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,Formatted paste sanitation exists; structured/formatted Copy/Cut parity remains incomplete (C019).
LBP-028,Accepted Library v1.2.17:L1508,copySelectionText,Copy text selection,CLIPBOARD,resources/js/workbench/StructuredEditor.vue,browser/native selection only,Selection state,clipboard.copySelection,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,
LBP-029,Accepted Library v1.2.17:L1429,copyMarkdownBlock,Copy structured block/subtree as Markdown,CLIPBOARD,resources/js/workbench/StructuredEditor.vue,none equivalent,StructuredDocument,clipboard.copyBlock,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,
LBP-030,Accepted Library v1.2.17:L1425,cutBlock,Cut block with clipboard + structural transaction,CLIPBOARD,resources/js/workbench/StructuredEditor.vue,none equivalent,StructuredDocument,clipboard.cutBlock,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,
LBP-031,Accepted Library v1.2.17:L1362,setMode,Read/Edit mode owner,READ_MODE,resources/js/workbench/LibraryWorkspace.vue,mode,LibraryWorkspace mode,mode.set,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,"Mode exists; production uses binary editable gate, missing accepted Read Mode action matrix C020."
LBP-032,Accepted Library v1.2.17:L1338,commandAvailability,Per-action availability by mode/context,COMMAND,resources/js/workbench/StructuredEditor.vue,v-if editable / disabled,Component-local gates,SemanticCommandCore,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,"Multiple local gates exist, but not the accepted explicit Read Mode matrix."
LBP-033,Accepted Library v1.2.17:L1239,getNote,Linked Sticky Note identity,STICKY_NOTES,resources/js/workbench/LibraryWorkspace.vue,revision working note,Library working state,note.open,resources/css/workbench.css,provider/authority gated,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,C021: revision note is not accepted linked Sticky Note system.
LBP-034,Accepted Library v1.2.17:L1247,freshNoteId,Stable note instance lifecycle,STICKY_NOTES,resources/js/workbench/LibraryWorkspace.vue,working note state,Library working state,note.create,resources/css/workbench.css,provider/authority gated,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,
LBP-035,Accepted Library v1.2.17:L1100,RecoveryService,Recovery distinct from autosave,RECOVERY,resources/js/workbench/LibraryWorkspace.vue,recovery snapshot/local storage path,Library recovery state,recovery.capture,resources/css/workbench.css,localStorage working recovery,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P2,Recovery exists but write frequency/bounding needs C022 correction.
LBP-036,Accepted Library v1.2.17:L1270,scheduleAutosaveSimulation,Autosave through canonical save/conflict authority,AUTOSAVE,resources/js/workbench/LibraryWorkspace.vue,save/recovery workflow,Library save state,document.save,resources/css/workbench.css,Workbench API,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P2,C022: recovery != canonical autosave; must pass save/conflict authority.
LBP-037,Accepted Library v1.2.17:L1101,firstStrongDirection,First-strong content direction,BIDI,resources/js/shared/StructuredContentCore.ts,dir metadata + auto,Block metadata,presentation.direction,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,PARTIAL,P1,Basic dir support exists; full first-strong behavior is not equivalent.
LBP-038,Accepted Library v1.2.17:L1101,resolvedBlockDirection,Resolve per-block direction independently of chrome,BIDI,resources/js/workbench/StructuredEditor.vue,:dir,Block metadata,presentation.direction,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,
LBP-039,Accepted Library v1.2.17,technical Bidi isolation,Technical atoms remain LTR/isolate,BIDI,resources/css/workbench.css,.tech/code/pre rules,Presentation state,presentation.bidi,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,STATIC_PROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,
LBP-040,Accepted Library v1.2.17:L1669,setThemeBehavior,Theme light/dark/system preference,SETTINGS,resources/js/shared/GlobalPreferenceCore.ts,theme preference,GlobalPreferenceCore,preference.set,resources/css/workbench.css,localStorage preference persistence,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,C005: legacy global dark ownership still leaks.
LBP-041,Accepted Library v1.2.17,locale owner,User-facing copy from configurable locale owner,LOCALIZATION,resources/js/workbench/context.ts,t() helper,Workbench locale state,locale.set,,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,PARTIAL,PARTIAL,P1,C023: active components still contain Arabic-only labels/ARIA.
LBP-042,Accepted Library v1.2.17,alignment preference,Content alignment scoped below application chrome,SETTINGS,resources/js/shared/GlobalPreferenceCore.ts,alignment,GlobalPreferenceCore + block metadata,preference.set,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,C007: alignment is applied too high in some chrome paths.
LBP-043,Accepted Library v1.2.17:L1600,PreferenceStore,Scoped preferences + reset/import/export,CUSTOMIZATION,resources/js/shared/GlobalPreferenceCore.ts,GlobalPreferenceCore,GlobalPreferenceCore,preference.set/reset/import/export,resources/css/workbench.css,localStorage,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,C006: pane layout state must leave GlobalPreferenceCore.
LBP-044,Accepted Library v1.2.17:L1645,paneLimits,Resizable left/right panes,PANE,resources/js/workbench/WorkspaceFrame.vue,pointer resize handlers,WorkspaceFrame local/layout state,pane.resize,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,PARTIAL,PARTIAL,UNPROVEN,PARTIAL,P1,Real resize exists; C008 notes physical LTR logic/focus/persistence gaps.
LBP-045,Accepted Library v1.2.17:L1505,effectivePaneState,Preferred state distinct from responsive effective state,RESPONSIVE,resources/js/workbench/WorkspaceFrame.vue,overlay/open calculations,WorkspaceFrame + preference state,pane.toggle,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,PARTIAL,UNPROVEN,UNPROVEN,PARTIAL,P1,C008/C006 require stronger separation/persistence.
LBP-046,Accepted Library v1.2.17:L947,ContextInspector,One detailed context owner,CONTEXT_INSPECTOR,resources/js/workbench/Workbench.vue,Context Inspector host,Workbench context state,context.scope/context.lens,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P1,Owner exists; responsive/focus completeness remains to prove.
LBP-047,Accepted Library v1.2.17:L1638,toggleContextPin,Pinned vs follow-selection context,CONTEXT_INSPECTOR,resources/js/workbench/Workbench.vue,context state,Workbench context state,context.pin,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,
LBP-048,Accepted Library v1.2.17,focus region cycle,Keyboard region navigation / focus return,ACCESSIBILITY,resources/js/workbench/Workbench.vue,focus handlers,TransientFocusCore/adapters,focus.cycle,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,UNPROVEN,PARTIAL,P2,C031 minor F6/logical focus edges.
LBP-049,Accepted Library v1.2.17:L1860,modal focus containment,Dialog focus containment and return,ACCESSIBILITY,resources/js/workbench/StructuredEditor.vue,native dialog + manual return,Transient UI state,dialog.open/close,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,UNPROVEN,PARTIAL,P1,
LBP-050,Accepted Library v1.2.17:L1518,librarySearchResults,Search/filter Library corpus,LOADING_STATE,resources/js/workbench/LibraryWorkspace.vue,client filtering/search,LibraryWorkspace state,library.search,resources/css/workbench.css,Workbench API,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,C024: whole-corpus materialization must become bounded server-side search/pagination/lazy detail.
LBP-051,Accepted Library v1.2.17,pagination,Bounded server-side pagination with canonical identity continuity,LOADING_STATE,app/Http/Controllers/KnowledgeLearning/WorkbenchController.php,no sufficient pagination owner,Backend query contract,library.page,resources/css/workbench.css,Laravel API/PostgreSQL,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,C024.
LBP-052,Accepted Library v1.2.17,empty state,Truthful empty structured document state,EMPTY_STATE,resources/js/workbench/StructuredEditor.vue,empty-block,StructuredDocument,block.insert,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,TEST_PROVEN,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P2,
LBP-053,Accepted Library v1.2.17,error state,Action failure is user-visible,ERROR_STATE,resources/js/workbench/StructuredEditor.vue,error role=alert,Component error state,status.feedback,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,STATIC_PROVEN,UNPROVEN,TRANSFERRED_WITH_PRODUCTION_ADAPTATION,P2,
LBP-054,Accepted Library v1.2.17,loading state,Distinct loading/stale state for remote detail,LOADING_STATE,resources/js/workbench/LibraryWorkspace.vue,partial async state,Workspace load state,status.loading,resources/css/workbench.css,Workbench API,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,
LBP-055,Accepted Library v1.2.17,V3 roundtrip,Lossless successor block metadata through legacy writers,STRUCTURED_CONTENT,app/Http/Controllers/Vs001Controller.php; app/Http/Controllers/Vs002Controller.php,legacy block validation,Backend legacy writer path,content.write,resources/css/workbench.css,LessonRevisionWorkflow + LessonContentContract,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P0,C002 data-loss risk; choose lossless V3 or explicit refusal/read-only.
LBP-056,Accepted Library v1.2.17,legacyBlockId,Canonical legacy ID algorithm across PHP and TypeScript,STRUCTURED_CONTENT,app/Modules/Knowledge/Content/LessonContentContract.php; resources/js/pages/KnowledgeLearning/components/content/lessonContent.ts,legacyBlockId,Cross-language identity owner,content.identity,resources/css/workbench.css,PHP + TS normalization,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P0,C003 proven algorithm mismatch.
LBP-057,Accepted Library v1.2.17:L1444,container capability,One authoritative parent/container registry,STRUCTURED_CONTENT,resources/js/shared/StructuredContentCore.ts; app/Modules/Knowledge/Content/LessonContentContract.php,containers / block registry,Structured-content contract,content.containerCapability,resources/css/workbench.css,PHP/TS contract,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,C016.
LBP-058,Accepted Library v1.2.17,numbered list,Numbering scoped to contiguous peers/depth,EDITOR,resources/js/workbench/StructuredEditor.vue,visible.filter(numbered).indexOf,Render-derived list numbering,list.numbering,resources/css/workbench.css,,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,MISSING,P1,C017 global numbering defect.
LBP-059,Accepted Library v1.2.17,new document localization,Canonical/localized title semantics,LOCALIZATION,resources/js/workbench/LibraryWorkspace.vue,new document title assignment,Library document metadata,document.create,resources/css/workbench.css,Workbench API,STATIC_PROVEN,SEMANTIC_PROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,C015 copies one title into title_ar and title_en.
LBP-060,Accepted Library v1.2.17,save status,Save/conflict/recovery status truthful and distinct,AUTOSAVE,resources/js/workbench/LibraryWorkspace.vue,save state,Library save state,document.save,resources/css/workbench.css,Laravel API,STATIC_PROVEN,SEMANTIC_PROVEN,PARTIAL,RUNTIME_UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,UNPROVEN,PARTIAL,P1,Needs real same-origin persistence/runtime under C025/C026.
