CORRECTION_ID,HISTORICAL_TITLE,SEVERITY,CORRECTION_CLASS,DEPENDENCY_STAGE,EXECUTION_STATUS,EVIDENCE_EXECUTED,REMAINING_PROOF_OR_GATE,FILES_FROM_HISTORICAL_REGISTER,HISTORICAL_RECOMMENDED_ACTION,SELF_ACCEPTANCE,GITHUB_OR_GOVERNED_DRIVE_PRODUCT_MUTATION,WRITER_VERSION,WRITER_SOURCE_TREE_SHA,WRITER_SOURCE_MANIFEST_SHA256
C023,Active donor components bypass the configurable locale owner with Arabic-only labels/copy,P1,LOCALIZATION_CORRECTION,6,IMPLEMENTED_BOUNDED_SOURCE__BROWSER_BIDI_UNPROVEN,Writer-B post-zero-orphan bounded parity evidence; see v1.1.4 test receipt/traceability matrix/source manifest.,New/modified Writer-B UI adapters use shared locale owner and preserve technical LTR isolation; mixed browser/Bidi proof remains C026.,resources/js/pages/KnowledgeLearning/components/library/LibraryHierarchyTree.vue | resources/js/pages/KnowledgeLearning/components/research-quality/ProvenancePanel.vue | resources/js/pages/KnowledgeLearning/components/research-quality/ResearchQualityWorkbench.vue | resources/js/pages/KnowledgeLearning/components/visualize/views/TreeView.vue | resources/js/pages/KnowledgeLearning/components/visualize/views/TreeBranch.vue | resources/js/pages/KnowledgeLearning/components/visualize/views/PathView.vue | resources/js/pages/KnowledgeLearning/components/visualize/views/GraphView.vue | resources/js/pages/KnowledgeLearning/components/visualize/views/CanvasView.vue | app/Modules/Curriculum/Application/Visualize/VisualizeRouteState.php | resources/js/workbench/LibraryWorkspace.vue | resources/js/workbench/ResearchWorkspace.vue | resources/js/workbench/VisualizeWorkspace.vue | resources/js/tests/ProductionForgeIntegration.spec.ts,Route all UI copy/ARIA through the locale owner. Prefer semantic backend state codes and localize in the frontend; preserve technical Bidi separately.,NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C024,Library/R&Q payloads materialize whole corpora and filter client-side,P1,PRODUCTION_SCALE_CORRECTION,6,OPEN_NOT_IN_V1_1_2_67_ROW_WRITE_SCOPE,v1.1.4 final closure rechecked Controller v1.1.2 67-row implementation universe and exact write scopes.,Historical whole-corpora/server-pagination correction is not one of the 67 Controller-dispatched PARTIAL/MISSING rows and has no adjudicated bounded backend destination in this packet. It remains OPEN_OUTSIDE_CURRENT_ROW_SCOPE; separate Controller mapping/dispatch is required before mutation.,app/Modules/Knowledge/Application/KnowledgeLibraryService.php | app/Application/KnowledgeLearning/KnowledgeLearningWorkspace.php | app/Modules/SourceGovernance/Application/KnowledgeQualityService.php | app/Http/Controllers/KnowledgeLearning/WorkbenchController.php | resources/js/workbench/LibraryWorkspace.vue | resources/js/workbench/ResearchWorkspace.vue | resources/js/workbench/types.ts | tests/Feature/KnowledgeLearning/ProductionWorkbenchApiTest.php,Introduce bounded server-side search/pagination/summary endpoints and lazy detail retrieval while preserving canonical object identities.,NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C025,Material PHP/API/PostgreSQL behavior has not been executed in the delivered environment,GATE,RUNTIME_VERIFICATION_REQUIRED,8,RUNTIME_GATE_OPEN_ENVIRONMENT_BLOCKED,PHP syntax 211/211 PASS; PHP CLI 8.4.23 present. npm ci retried but environment reports EBADENGINE (project Node 24.18.0/npm 11.16.0; environment Node v22.16.0/npm 10.9.2) and did not yield a complete project toolchain.,"Composer, vendor/autoload.php, PostgreSQL client/runtime, and Docker are unavailable in the execution environment; therefore Laravel/PostgreSQL migration/concurrency/runtime proof remains OPEN and is not inferred from PHP syntax.",app/Application/KnowledgeLearning/KnowledgeLearningWorkspace.php | app/Http/Controllers/KnowledgeLearning/WorkbenchController.php | app/Modules/Curriculum/Application/CurriculumKnowledgeService.php | app/Modules/Curriculum/Application/Visualize/OverlayProjector.php | app/Modules/Curriculum/Application/Visualize/VisualizationProjection.php | app/Modules/Curriculum/Application/Visualize/VisualizeRouteState.php | app/Modules/Knowledge/Application/KnowledgeLibraryService.php | app/Modules/Knowledge/Application/Library/LibraryCapabilityManifest.php | app/Modules/Knowledge/Application/Library/LibraryHierarchyProjector.php | app/Modules/Knowledge/Content/LessonContentContract.php | app/Modules/Knowledge/Publication/LessonRevisionWorkflow.php | app/Modules/Learning/Application/DailyQueueService.php | app/Modules/Learning/Application/KnowledgeJourneyService.php | app/Modules/SourceGovernance/Application/KnowledgeQualityService.php | app/Modules/SourceGovernance/Application/ResearchQuality/ResearchQualityWorkbench.php | routes/workbench.php | tests/Feature/KnowledgeLearning/ProductionWorkbenchApiTest.php,"After direct corrections, run Composer/Laravel unit+feature tests against project PostgreSQL, including concurrency and migration lifecycle, before merge/acceptance.",NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C026,No real browser/runtime/reference assurance exists for the final candidate,GATE,BROWSER_RUNTIME_VERIFICATION_REQUIRED,9,BROWSER_VISUAL_GATE_OPEN_ENVIRONMENT_BLOCKED,"Chromium 144 is installed, but even a minimal headless data-URL screenshot smoke test timed out (RC=124) with environment/DBus errors; full Vue toolchain unavailable; no screenshot or exact-route proof produced.","EXACT_ROUTE_BROWSER_PROOF, candidate-bound visual proof, 1440/~1024/narrow, browser 200%, full keyboard/focus/AT and mixed-Bidi runtime remain UNPROVEN. Environment blocking is recorded rather than converted to PASS.",resources/views/workbench.blade.php | resources/js/workbench/main.ts | resources/js/workbench/Workbench.vue | resources/js/workbench/WorkspaceFrame.vue | resources/js/workbench/LibraryWorkspace.vue | resources/js/workbench/StructuredEditor.vue | resources/js/workbench/VisualizeWorkspace.vue | resources/js/workbench/ResearchWorkspace.vue | resources/js/workbench/TodayWorkspace.vue | resources/css/workbench.css,"After corrections, run authenticated real-browser assurance for six surfaces, responsive widths, 200% reflow, light/dark/system, en/ar + LTR/RTL, keyboard/focus, persistence reload, and Library reference deltas.",NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C027,Today remains truthful but functionally unbound,OPEN,PROVIDER_GATE,OPEN,OPEN_PROVIDER_GATE_PRESERVED,Writer-B post-zero-orphan bounded parity evidence; see v1.1.4 test receipt/traceability matrix/source manifest.,No provider fabrication.,app/Http/Controllers/KnowledgeLearning/WorkbenchController.php | resources/js/workbench/TodayWorkspace.vue | tests/Feature/KnowledgeLearning/ProductionWorkbenchApiTest.php,Do not fabricate data. Close only when Parent/integration-owned real providers/read contracts are available; then add seeded-data provider→Today→UI integration tests.,NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C028,R&Q durable reconciliation persistence is intentionally absent,OPEN,IMPLEMENTATION_GATE,OPEN,OPEN_AUTHORITY_GATE_PRESERVED,Writer-B post-zero-orphan bounded parity evidence; see v1.1.4 test receipt/traceability matrix/source manifest.,C004 semantic adjudication preserved; DB runtime remains unproven; no broader persistence authority invented.,app/Modules/SourceGovernance/Application/ResearchQuality/ResearchQualityWorkbench.php | app/Modules/SourceGovernance/Application/KnowledgeQualityService.php | resources/js/pages/KnowledgeLearning/components/research-quality/ResearchQualityWorkbench.vue | resources/js/workbench/ResearchWorkspace.vue | tests/Unit/SourceGovernance/ResearchQualityWorkbenchTest.php,"Resolve C004 schema/semantic ownership first; then implement durable R&Q reconciliation only under its proper owner, without collapsing into W04 formal Review.",NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C029,Visualize advanced semantic mutation and durable spatial tools are incomplete,OPEN,DOMAIN_IMPLEMENTATION_GATE,OPEN,OPEN_AUTHORITY_PROVIDER_GATE_PRESERVED,Writer-B post-zero-orphan bounded parity evidence; see v1.1.4 test receipt/traceability matrix/source manifest.,No provider/schema/domain authority invented.,resources/js/shared/SpatialInteractionCore.ts | resources/js/workbench/VisualizeWorkspace.vue | resources/js/pages/KnowledgeLearning/components/visualize/VisualizationSurface.vue | resources/js/pages/KnowledgeLearning/components/visualize/views/GraphView.vue | resources/js/pages/KnowledgeLearning/components/visualize/views/CanvasView.vue | app/Modules/Curriculum/Application/CurriculumKnowledgeService.php | app/Modules/Curriculum/Application/Visualize/VisualizationProjection.php,Keep representation edits separate from canonical domain mutation. Implement only after exact authority/provider/schema contract is known; preserve the shared SpatialInteractionCore for W03.,NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C030,Learn practice/assessment/progression provider integration is incomplete,OPEN,LEARN_IMPLEMENTATION_GATE,OPEN,OPEN_PROVIDER_GATE_PRESERVED,Writer-B post-zero-orphan bounded parity evidence; see v1.1.4 test receipt/traceability matrix/source manifest.,No practice/assessment/progression provider fabricated.,app/Application/KnowledgeLearning/KnowledgeLearningWorkspace.php | app/Modules/Learning/Application/KnowledgeJourneyService.php | app/Modules/Learning/Application/DailyQueueService.php | resources/js/workbench/LibraryWorkspace.vue | tests/Feature/KnowledgeLearning/ProductionWorkbenchApiTest.php,Add only real provider-backed learning interactions; preserve learner freedom and never infer Mastery from completion/progress.,NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C031,Minor shell keyboard/logical-CSS edge cases remain,P2,A11Y_LOGICAL_CSS_CORRECTION,4,PRESERVED_CORRECTION__BROWSER_UNPROVEN,Writer-B post-zero-orphan bounded parity evidence; see v1.1.4 test receipt/traceability matrix/source manifest.,v1.1.1 correction preserved; changed SFC strict compile PASS; direct browser regression proof remains C026.,resources/js/workbench/Workbench.vue | resources/css/workbench.css | resources/js/tests/ProductionForgeIntegration.spec.ts,Guard zero-region F6 and use logical CSS positioning; add small keyboard/RTL regression vectors.,NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
C032,Current tests omit key cross-system failure paths and one R&Q test gives false confidence,P1,ASSURANCE_TEST_CORRECTION,7,ASSURANCE_EXPANDED__EXTERNAL_RUNTIME_GATES_REMAIN,"v1.1.4 Factory: 80/80 unique rows, all mandatory row fields explicit, Controller architecture mapping preserved exactly, 67/67 implementation rows source-handled, MISSING=0; semantic harness 34/34 PASS; strict TS shared core + changed SFC scripts PASS; ProductionForgeCore source typecheck PASS; PHP syntax 211/211 PASS; JS syntax PASS; source manifest 583/583 verified.","External full npm/Vitest/Vite/Vue build, Laravel/PostgreSQL, exact-route browser, visual/reference, 200% and AT/Bidi runtime gates remain separated and unproven. No static/test evidence is promoted across evidence classes.",tests/Unit/SourceGovernance/ResearchQualityWorkbenchTest.php | tests/Unit/Knowledge/LessonContentContractTest.php | tests/Unit/Curriculum/VisualizationProjectionTest.php | tests/Feature/KnowledgeLearning/ProductionWorkbenchApiTest.php | tests/Feature/Vs001WorkspaceTest.php | tests/Feature/Vs002WorkspaceTest.php | tests/Feature/Vs001PublicationWorkflowTest.php | tests/Feature/Vs002LifecycleTest.php | resources/js/tests/ProductionForgeCore.spec.ts | resources/js/tests/ProductionForgeIntegration.spec.ts | resources/js/tests/Vs001CorrectedWorkflows.spec.ts | resources/js/tests/Vs002SafeRendering.spec.ts,Expand assurance only after semantics are corrected; prefer database-real and end-to-end fixtures where persistence constraints matter.,NO,NO,v1.1.4_FINAL_CLOSURE_HARDENED,acd14514dddbd5e45aeb2fc25fed22560511d8ca,b5de82d4cb83534bab55de52cf7b2f64fec952e9b97062a294338ed21691edf5
